gene_id	isoform_id	condition_1	condition_2	gene_value_1	gene_value_2	iso_value_1	iso_value_2	dIF	IF1	IF2	isoform_switch_q_value	PTC	IR	codingPotential	domain_identified	signal_peptide_identified	switchConsequencesGene	DTE_log2FC	DTE_logCPM	DTE_F	DTE_pval	DTE_qval	DGE_log2FC	DGE_logCPM	DGE_F	DGE_pval	DGE_qval	DTU	DTE	DGE	DTU_qval	gene_name	gene_biotype	isoform_biotype	disease_category
ENSG00000007062	ENST00000505450	B_RO_D100	C_RO_D45	57.17780333333333	23.884835	6.603276666666667	6.620485	0.16343333333333335	0.11976666666666666	0.2832	0.00734280408394554	FALSE	0	TRUE	yes	yes	TRUE	-0.08438842154776548	3.814437954486454	0.05238930615941348	0.825440379982447	0.9656616593315258	1.047989008993164	7.8957875826625346	7.1622063464446	0.03097525623187143	0.17710063307523477	TRUE	FALSE	FALSE	0.00734280408394554	PROM1	protein_coding	protein_coding	c(""Cone or cone-rod dystrophy, autosomal dominant"", ""Macular degeneration, autosomal dominant"", ""Retinitis pigmentosa, autosomal recessive"", ""Other retinopathy, autosomal recessive"")
ENSG00000007062	ENST00000508167	B_RO_D100	C_RO_D45	57.17780333333333	23.884835	2.48405	10.26324	0.3603666666666666	0.04933333333333333	0.4097	0.00155980800488926	FALSE	0	TRUE	yes	yes	TRUE	-2.130620866572894	3.3524661301171683	13.056082219570412	0.00844991505350416	0.19573770490268425	1.047989008993164	7.8957875826625346	7.1622063464446	0.03097525623187143	0.17710063307523477	TRUE	FALSE	FALSE	0.00155980800488926	PROM1	protein_coding	protein_coding	c(""Cone or cone-rod dystrophy, autosomal dominant"", ""Macular degeneration, autosomal dominant"", ""Retinitis pigmentosa, autosomal recessive"", ""Other retinopathy, autosomal recessive"")
ENSG00000007062	ENST00000447510	B_RO_D100	C_RO_D45	57.17780333333333	23.884835	9.04526	0.5439449999999999	-0.13973333333333335	0.16373333333333334	0.024	4.079629830795684e-4	FALSE	0	TRUE	yes	yes	TRUE	3.953194279082071	4.292170670606113	75.6170021024305	5.0461114377811527e-5	0.02418361604131111	1.047989008993164	7.8957875826625346	7.1622063464446	0.03097525623187143	0.17710063307523477	TRUE	TRUE	FALSE	4.079629830795684e-4	PROM1	protein_coding	protein_coding	c(""Cone or cone-rod dystrophy, autosomal dominant"", ""Macular degeneration, autosomal dominant"", ""Retinitis pigmentosa, autosomal recessive"", ""Other retinopathy, autosomal recessive"")
ENSG00000007062	ENST00000540805	B_RO_D100	C_RO_D45	57.17780333333333	23.884835	6.332333333333333	0.047735	-0.1012	0.1038	0.0026	3.3663848791585424e-5	FALSE	0	TRUE	yes	yes	TRUE	6.7373015168607715	4.225239277064908	33.58990650837933	6.440912851446319e-4	0.07376644699228695	1.047989008993164	7.8957875826625346	7.1622063464446	0.03097525623187143	0.17710063307523477	TRUE	FALSE	FALSE	3.3663848791585424e-5	PROM1	protein_coding	protein_coding	c(""Cone or cone-rod dystrophy, autosomal dominant"", ""Macular degeneration, autosomal dominant"", ""Retinitis pigmentosa, autosomal recessive"", ""Other retinopathy, autosomal recessive"")
ENSG00000007062	ENST00000513448	B_RO_D100	C_RO_D45	57.17780333333333	23.884835	22.060276666666667	4.388455	-0.1857	0.3815	0.1958	0.04660327927112114	NA	0	FALSE	NA	NA	TRUE	2.252583713123402	5.653899466446792	28.217104546231862	0.00107584079058845	0.08931281647008053	1.047989008993164	7.8957875826625346	7.1622063464446	0.03097525623187143	0.17710063307523477	TRUE	FALSE	FALSE	0.04660327927112114	PROM1	protein_coding	retained_intron	c(""Cone or cone-rod dystrophy, autosomal dominant"", ""Macular degeneration, autosomal dominant"", ""Retinitis pigmentosa, autosomal recessive"", ""Other retinopathy, autosomal recessive"")
ENSG00000042317	ENST00000553885	B_RO_D100	C_RO_D45	20.393749999999997	23.999365000000004	0	6.987220000000001	0.2899	0	0.2899	9.997506653430645e-20	NA	0	FALSE	NA	NA	TRUE	-9.361063401484882	2.175210467572651	68.94077187484555	0.0010701164489189	0.08931281647008053	0.04969642328157404	5.954254081515654	0.03410878577908581	0.8585841418817589	0.9381516012672904	TRUE	FALSE	FALSE	9.997506653430645e-20	SPATA7	protein_coding	protein_coding	c(""Leber congenital amaurosis, autosomal recessive"", ""Retinitis pigmentosa, autosomal recessive"")
ENSG00000042781	ENST00000366942	B_RO_D100	C_RO_D45	9.754036666666666	4.018330000000001	3.383343333333334	0	-0.2956666666666667	0.2956666666666667	0	0.00950380842077638	FALSE	0	TRUE	yes	no	TRUE	8.237219419016284	2.250102725337164	12.511251209375402	0.01204092655688291	0.2288083997893608	1.6540821993609691	6.603225765405694	15.534096176365791	0.00531713653207974	0.08225984390033542	TRUE	FALSE	FALSE	0.00950380842077638	USH2A	protein_coding	protein_coding	c(""Retinitis pigmentosa, autosomal recessive"", ""Usher syndrome, autosomal recessive"")
ENSG00000104237	ENST00000636932	B_RO_D100	C_RO_D45	11.538983333333332	1.990755	0.4810233333333333	1.56019	0.7435999999999999	0.04	0.7836	1.3017251995911314e-13	FALSE	0	TRUE	yes	no	TRUE	-1.755686115482598	1.3342213075030245	4.408754861621337	0.07353425831024754	0.437319072911422	1.4701979839224038	6.895227397322838	18.813271678418843	0.0032089782213416	0.0653917033175973	TRUE	FALSE	FALSE	1.3017251995911314e-13	RP1	protein_coding	protein_coding	c(""Macular degeneration, autosomal dominant"", ""Retinitis pigmentosa, autosomal dominant"", ""Retinitis pigmentosa, autosomal recessive"")
ENSG00000104237	ENST00000220676	B_RO_D100	C_RO_D45	11.538983333333332	1.990755	10.368476666666666	0.18388	-0.8103666666666667	0.9022666666666668	0.0919	2.1517138477518494e-13	FALSE	0	TRUE	yes	no	TRUE	5.653685058731654	7.8170993826352895	93.4746617038479	2.5128528736255768e-5	0.01846783388072489	1.4701979839224038	6.895227397322838	18.813271678418843	0.0032089782213416	0.0653917033175973	TRUE	TRUE	FALSE	2.1517138477518494e-13	RP1	protein_coding	protein_coding	c(""Macular degeneration, autosomal dominant"", ""Retinitis pigmentosa, autosomal dominant"", ""Retinitis pigmentosa, autosomal recessive"")
ENSG00000107736	ENST00000299366	B_RO_D100	C_RO_D45	43.999433333333336	13.21856	1.6742866666666667	2.67148	0.16041666666666665	0.03883333333333333	0.19925	5.610554909305723e-7	FALSE	0	TRUE	yes	no	TRUE	-0.7339035322489501	2.176520559745107	1.8124293725611056	0.21980353106057957	0.5848832431838503	0.9757479339904516	6.959066003819367	24.149703631055427	0.00159746078272051	0.04861771269882501	TRUE	FALSE	FALSE	5.610554909305723e-7	CDH23	protein_coding	protein_coding	c(""Deafness alone or syndromic, autosomal recessive"", ""Usher syndrome, autosomal recessive"")
