gene_id	seqnames	start	end	width	strand	isoform_id	gene_name	ensembl_gene_name
ENSG00000030110	chr6	33574506	33574525	20	-	ENST00000442998.6	BAK1	BAK1
ENSG00000054523	chr1	10273014	10273031	18	+	ENST00000676179.1	KIF1B	KIF1B
ENSG00000097033	chr1	86730088	86730111	24	+	transcript46757.chr1.nnic	SH3GLB1	SH3GLB1
ENSG00000105426	chr19	5218787	5218798	12	-	transcript24483.chr19.nic	PTPRS	PTPRS
ENSG00000105426	chr19	5218787	5218798	12	-	transcript24503.chr19.nic	PTPRS	PTPRS
ENSG00000130706	chr20	62304461	62304485	25	+	transcript23697.chr20.nnic	ADRM1	ADRM1
ENSG00000136717	chr2	127053422	127053445	24	-	ENST00000316724.10	BIN1	BIN1
ENSG00000136717	chr2	127053422	127053445	24	-	transcript42624.chr2.nnic	BIN1	BIN1
ENSG00000138443	chr2	203382189	203382206	18	+	ENST00000261018.12	ABI2	ABI2
ENSG00000163539	chr3	33574473	33574496	24	-	transcript10302.chr3.nic	CLASP2	CLASP2
ENSG00000163539	chr3	33594951	33594968	18	-	transcript10302.chr3.nic	CLASP2	CLASP2
ENSG00000163539	chr3	33596711	33596734	24	-	transcript10302.chr3.nic	CLASP2	CLASP2
ENSG00000168894	chr2	85596907	85596931	25	+	transcript32072.chr2.nnic	RNF181	RNF181
ENSG00000171735	chr1	7749771	7749791	21	+	transcript5346.chr1.nic	CAMTA1	CAMTA1
ENSG00000172292	chr2	168766322	168766345	24	+	ENST00000392687.4	CERS6	CERS6
ENSG00000182944	chr22	29274265	29274282	18	+	ENST00000414183.6	EWSR1	EWSR1
ENSG00000184752	chr12	95002806	95002821	16	-	ENST00000547157.1	NDUFA12	NDUFA12
ENSG00000188157	chr1	1051032	1051043	12	+	ENST00000651234.1	AGRN	AGRN
ENSG00000188157	chr1	1051993	1052016	24	+	ENST00000651234.1	AGRN	AGRN
ENSG00000188343	chr8	93702520	93702543	24	+	transcript21803.chr8.nic	CIBAR1	CIBAR1
ENSG00000188343	chr8	93708011	93708016	6	+	transcript21803.chr8.nic	CIBAR1	CIBAR1
ENSG00000196924	chrX	154357251	154357274	24	-	ENST00000676696.1	FLNA	FLNA
ENSG00000197043	chr5	151110627	151110644	18	-	transcript39834.chr5.nnic	ANXA6	ANXA6
ENSG00000204843	chr2	74372928	74372948	21	-	ENST00000409438.5	DCTN1	DCTN1
