gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	condition_1	condition_2
ENSG00000151615	ENSG00000151615.3	-9.454788624585492	7.54255801999523	580.4707303730406	2.7727953758960764e-21	4.9527671004255716e-17	POU4F2	protein_coding	FT	RGC
ENSG00000165092	ENSG00000165092.13	7.557798670075134	7.322581661239169	479.6343455177885	4.257885032144715e-20	3.802717122208445e-16	ALDH1A1	protein_coding	FT	RGC
ENSG00000142089	ENSG00000142089.17	7.057609701146733	7.68195960546647	447.0506527124543	1.1572243299084722e-19	5.167585245206283e-16	IFITM3	protein_coding	FT	RGC
ENSG00000165646	ENSG00000165646.14	-6.335795617785291	6.746247080366634	450.1365373350199	1.0496380855264077e-19	5.167585245206283e-16	SLC18A2	protein_coding	FT	RGC
ENSG00000142871	ENSG00000142871.18	6.711202940628957	7.018212381344234	422.7570156532646	2.552450441692774e-19	9.118373957903265e-16	CCN1	protein_coding	FT	RGC
ENSG00000185650	ENSG00000185650.10	6.704133628578188	8.686130798654887	412.7305081537584	3.582287519130161e-19	1.066446994445049e-15	ZFP36L1	protein_coding	FT	RGC
ENSG00000187122	ENSG00000187122.17	-5.829512212399943	7.206163325366594	407.71122769413074	4.257060916780168e-19	1.0862803156503909e-15	SLIT1	protein_coding	FT	RGC
ENSG00000118523	ENSG00000118523.6	8.294618668721066	6.1632819592542365	403.0530477384997	5.0054334468504855e-19	1.1035948091243569e-15	CCN2	protein_coding	FT	RGC
ENSG00000277586	ENSG00000277586.4	-5.671930344720958	7.393304853736829	400.05420898257563	5.560605353330652e-19	1.1035948091243569e-15	NEFL	protein_coding	FT	RGC
ENSG00000101335	ENSG00000101335.10	9.032692982568808	6.365349921056809	390.1651371984048	2.298071539642712e-18	2.7521662658529915e-15	MYL9	protein_coding	FT	RGC
ENSG00000114315	ENSG00000114315.4	6.630116633764674	9.19641205037115	365.2708494855046	1.994067789305679e-18	2.7521662658529915e-15	HES1	protein_coding	FT	RGC
ENSG00000143768	ENSG00000143768.13	6.8670494797688955	5.7101262520606415	370.83056285042665	1.6134879798556797e-18	2.7521662658529915e-15	LEFTY2	protein_coding	FT	RGC
ENSG00000162188	ENSG00000162188.6	-5.457387839800554	7.425574111904166	363.0184861944408	2.1735655752411237e-18	2.7521662658529915e-15	GNG3	protein_coding	FT	RGC
