gene_id	ensembl_gene_name	isoform_id	logFC	FDR	isoform_switch_q_value	dIF
ENSG00000015592	STMN4	ENST00000265770.11	-1.35472189053765	0.00327030313732559	0.01636695797876252	-0.16613333333333324
ENSG00000065308	TRAM2	ENST00000182527.4	0.985332949143084	0.00582230168850934	0.03878724986637328	-0.18643333333333337
ENSG00000065308	TRAM2	transcript49832.chr6.nnic	0.985332949143084	0.00582230168850934	0.04623195043848859	0.18643333333333337
ENSG00000101493	ZNF516	ENST00000443185.7	-0.992411570367602	0.00712365983772944	0.04976579532137935	-0.24794999999999995
ENSG00000111716	LDHB	ENST00000470985.3	-0.567464295825057	0.03154870722619	0.02639075943708932	0.11886666666666668
ENSG00000111716	LDHB	ENST00000396076.5	-0.567464295825057	0.03154870722619	0.02639075943708932	-0.11833333333333328
ENSG00000144485	HES6	transcript211979.chr2.nnic	-2.57060606705471	0.0045073464778528	0.01876816549356914	0.1486833333333334
ENSG00000144485	HES6	ENST00000272937.10	-2.57060606705471	0.0045073464778528	6.685833783295153e-4	-0.11718333333333328
ENSG00000188690	UROS	ENST00000368797.10	0.687966949967139	0.0267571918151316	0.00610753142709872	-0.2213666666666667
ENSG00000267280	TBX2-AS1	ENST00000590421.2	-1.06847467338294	0.00909128269751643	0.01229283787637385	-0.2965333333333333
