gene_id	ensembl_gene_name	isoform_id	logFC	FDR	isoform_switch_q_value	dIF
ENSG00000007372	PAX6	ENST00000481563.6	-0.751250204467603	0.0143269600065139	0.00175095162043548	-0.17459999999999998
ENSG00000007372	PAX6	ENST00000639386.2	-0.751250204467603	0.0143269600065139	0.00234698979018753	-0.10545
ENSG00000013810	TACC3	transcript1822.chr4.nic	2.41411255643703	1.67900579127271e-5	7.002418019811022e-5	0.5605
ENSG00000013810	TACC3	ENST00000313288.9	2.41411255643703	1.67900579127271e-5	0.00561164691578755	-0.42065
ENSG00000018189	RUFY3	ENST00000381006.8	-1.01943558960754	0.00215625228557774	7.22194102062991e-5	-0.60175
ENSG00000018189	RUFY3	ENST00000226328.8	-1.01943558960754	0.00215625228557774	8.312658024272683e-4	0.56665
ENSG00000021645	NRXN3	transcript26030.chr14.nic	-2.66233488489142	2.64660250092571e-6	0.00161375660928975	0.56725
ENSG00000047849	MAP4	ENST00000439356.2	-0.96176945161882	0.00211389330225413	0.00583423277672705	0.49225
ENSG00000054523	KIF1B	transcript6614.chr1.nic	-1.02849461706123	0.00280053836538522	0.00221624561675746	-0.1241
ENSG00000054523	KIF1B	ENST00000377093.9	-1.02849461706123	0.00280053836538522	2.619221265354159e-5	-0.26180000000000003
ENSG00000054523	KIF1B	ENST00000676179.1	-1.02849461706123	0.00280053836538522	7.781218162371368e-7	0.3801
ENSG00000057935	MTA3	ENST00000405094.2	0.993549013451559	0.00194296832567559	7.215901841109607e-7	0.694
ENSG00000070087	PFN2	ENST00000239940.12	-0.832657637297813	0.00820159311698899	9.713182022965378e-9	0.7582000000000001
ENSG00000070087	PFN2	ENST00000452853.6	-0.832657637297813	0.00820159311698899	1.0056617616352468e-8	-0.7520499999999999
ENSG00000084234	APLP2	transcript51523.chr11.nic	1.44635219344553	1.9517696385898e-4	0.00287707723056856	0.16060000000000002
ENSG00000084234	APLP2	ENST00000338167.10	1.44635219344553	1.9517696385898e-4	0.02174731989819622	-0.31225
ENSG00000084234	APLP2	ENST00000263574.9	1.44635219344553	1.9517696385898e-4	5.325546528440829e-4	0.2551
ENSG00000085832	EPS15	ENST00000493793.2	-0.860288593825004	0.00241320267924565	0.04498753022651105	0.51825
ENSG00000100979	PLTP	ENST00000372420.5	1.46734031280985	2.2603907410939e-4	0.01588678754218642	0.5680499999999999
ENSG00000101444	AHCY	transcript12262.chr20.nnic	1.87232563486045	2.04112100753281e-5	0.02784627042134276	0.23585000000000003
ENSG00000102024	PLS3	ENST00000355899.8	1.54852752520098	6.87041449441496e-5	0.00120777847642697	-0.4524000000000001
ENSG00000102024	PLS3	transcript27364.chrX.nic	1.54852752520098	6.87041449441496e-5	0.00161375660928975	0.53315
ENSG00000105379	ETFB	ENST00000309244.9	-1.30942500942744	1.5171311866797e-4	0.02455307546324603	-0.26270000000000004
