isoform_id	gene_id	gene_name	iso_value_1	iso_value_2	IF1	IF2
ENST00000374650.8	ENSG00000003400	CASP10	0	2.2462417111531371e-10	NA	1
ENST00000374650.8	ENSG00000003400	CASP10	0	2.2462417111531371e-10	NA	1
ENST00000374650.8	ENSG00000003400	CASP10	0	2.2462417111531371e-10	NA	1
ENST00000367023.5	ENSG00000009790	TRAF3IP3	0	2.2462417111531371e-10	NA	1
ENST00000367023.5	ENSG00000009790	TRAF3IP3	0	2.2462417111531371e-10	NA	1
ENST00000367023.5	ENSG00000009790	TRAF3IP3	0	2.2462417111531371e-10	NA	1
ENST00000593704.1	ENSG00000012124	CD22	0	0.74775721420379615	NA	1
ENST00000593704.1	ENSG00000012124	CD22	0	0.74775721420379615	NA	1
ENST00000593704.1	ENSG00000012124	CD22	0	0.74775721420379615	NA	1
ENST00000276373.10	ENSG00000036565	SLC18A1	0	0.36970686095022876	NA	1
ENST00000276373.10	ENSG00000036565	SLC18A1	0	0.36970686095022876	NA	1
ENST00000276373.10	ENSG00000036565	SLC18A1	0	0.36970686095022876	NA	1
ENST00000479674.1	ENSG00000057593	F7	0	0.36970686095022876	NA	1
ENST00000479674.1	ENSG00000057593	F7	0	0.36970686095022876	NA	1
ENST00000479674.1	ENSG00000057593	F7	0	0.36970686095022876	NA	1
ENST00000359361.2	ENSG00000062096	ARSF	0	0.6057927604772951	NA	1
ENST00000359361.2	ENSG00000062096	ARSF	0	0.6057927604772951	NA	1
ENST00000359361.2	ENSG00000062096	ARSF	0	0.6057927604772951	NA	1
ENST00000674379.1	ENSG00000075275	CELSR1	0	0.2850405287326699	NA	0.1573
ENST00000497509.1	ENSG00000075275	CELSR1	0	1.6435135325863595	NA	0.8427
ENST00000674379.1	ENSG00000075275	CELSR1	0	0.2850405287326699	NA	0.1573
ENST00000497509.1	ENSG00000075275	CELSR1	0	1.6435135325863595	NA	0.8427
ENST00000674379.1	ENSG00000075275	CELSR1	0	0.2850405287326699	NA	0.1573
ENST00000497509.1	ENSG00000075275	CELSR1	0	1.6435135325863595	NA	0.8427
ENST00000357450.9	ENSG00000077935	SMC1B	0	1.7418444464567528e-10	NA	1
ENST00000357450.9	ENSG00000077935	SMC1B	0	1.7418444464567528e-10	NA	1
ENST00000357450.9	ENSG00000077935	SMC1B	0	1.7418444464567528e-10	NA	1
ENST00000380818.7	ENSG00000085231	AK6	0	0.3912334795126096	NA	1
ENST00000380818.7	ENSG00000085231	AK6	0	0.3912334795126096	NA	1
ENST00000380818.7	ENSG00000085231	AK6	0	0.3912334795126096	NA	1
ENST00000430124.7	ENSG00000096395	MLN	0	0.289696620880749	NA	1
ENST00000430124.7	ENSG00000096395	MLN	0	0.289696620880749	NA	1
ENST00000430124.7	ENSG00000096395	MLN	0	0.289696620880749	NA	1
ENST00000215582.8	ENSG00000099812	MISP	0	0.7791202360347251	NA	1
ENST00000215582.8	ENSG00000099812	MISP	0	0.7791202360347251	NA	1
ENST00000215582.8	ENSG00000099812	MISP	0	0.7791202360347251	NA	1
ENST00000396082.2	ENSG00000100373	UPK3A	0	0.2850405287326699	NA	1
ENST00000396082.2	ENSG00000100373	UPK3A	0	0.2850405287326699	NA	1
ENST00000396082.2	ENSG00000100373	UPK3A	0	0.2850405287326699	NA	1
ENST00000319231.10	ENSG00000100433	KCNK10	0	1.908173599211674	NA	1
ENST00000319231.10	ENSG00000100433	KCNK10	0	1.908173599211674	NA	1
ENST00000319231.10	ENSG00000100433	KCNK10	0	1.908173599211674	NA	1
ENST00000699096.1	ENSG00000101311	FERMT1	0	4.0986488277402106e-10	NA	1
ENST00000699096.1	ENSG00000101311	FERMT1	0	4.0986488277402106e-10	NA	1
