"gene_id","count","external_gene_name","gene_biotype"
"ENSG00000186868",86,"MAPT","protein_coding"
"ENSG00000168702",76,"LRP1B","protein_coding"
"ENSG00000134769",65,"DTNA","protein_coding"
"ENSG00000174469",58,"CNTNAP2","protein_coding"
"ENSG00000082805",56,"ERC1","protein_coding"
"ENSG00000153944",44,"MSI2","protein_coding"
"ENSG00000155974",44,"GRIP1","protein_coding"
"ENSG00000130226",43,"DPP6","protein_coding"
"ENSG00000048991",40,"R3HDM1","protein_coding"
"ENSG00000100106",38,"TRIOBP","protein_coding"
"ENSG00000115310",29,"RTN4","protein_coding"
"ENSG00000069849",26,"ATP1B3","protein_coding"
"ENSG00000150625",25,"GPM6A","protein_coding"
"ENSG00000188352",25,"FOCAD","protein_coding"
"ENSG00000169398",23,"PTK2","protein_coding"
"ENSG00000083067",21,"TRPM3","protein_coding"
"ENSG00000128512",20,"DOCK4","protein_coding"
"ENSG00000038382",19,"TRIO","protein_coding"
"ENSG00000074054",17,"CLASP1","protein_coding"
"ENSG00000078018",17,"MAP2","protein_coding"
"ENSG00000185630",16,"PBX1","protein_coding"
"ENSG00000154310",15,"TNIK","protein_coding"
"ENSG00000154556",15,"SORBS2","protein_coding"
"ENSG00000189337",15,"KAZN","protein_coding"
"ENSG00000061987",14,"MON2","protein_coding"
"ENSG00000144724",13,"PTPRG","protein_coding"
"ENSG00000168916",13,"ZNF608","protein_coding"
"ENSG00000100095",12,"SEZ6L","protein_coding"
"ENSG00000123607",12,"TTC21B","protein_coding"
"ENSG00000028203",11,"VEZT","protein_coding"
"ENSG00000142875",11,"PRKACB","protein_coding"
"ENSG00000145349",11,"CAMK2D","protein_coding"
"ENSG00000151067",11,"CACNA1C","protein_coding"
"ENSG00000151532",11,"VTI1A","protein_coding"
"ENSG00000197928",11,"ZNF677","protein_coding"
"ENSG00000139970",10,"RTN1","protein_coding"
"ENSG00000168280",10,"KIF5C","protein_coding"
"ENSG00000108559",9,"NUP88","protein_coding"
"ENSG00000134369",9,"NAV1","protein_coding"
"ENSG00000182149",9,"IST1","protein_coding"
"ENSG00000283154",9,"IQCJ-SCHIP1","protein_coding"
"ENSG00000055609",8,"KMT2C","protein_coding"
"ENSG00000117114",8,"ADGRL2","protein_coding"
"ENSG00000118007",8,"STAG1","protein_coding"
"ENSG00000127914",8,"AKAP9","protein_coding"
"ENSG00000130714",8,"POMT1","protein_coding"
"ENSG00000135968",8,"GCC2","protein_coding"
"ENSG00000151150",8,"ANK3","protein_coding"
"ENSG00000171681",8,"ATF7IP","protein_coding"
"ENSG00000115355",7,"CCDC88A","protein_coding"
"ENSG00000132669",7,"RIN2","protein_coding"
"ENSG00000139793",7,"MBNL2","protein_coding"
"ENSG00000142192",7,"APP","protein_coding"
"ENSG00000148634",7,"HERC4","protein_coding"
"ENSG00000151914",7,"DST","protein_coding"
"ENSG00000197694",7,"SPTAN1","protein_coding"
"ENSG00000089177",6,"KIF16B","protein_coding"
"ENSG00000125814",6,"NAPB","protein_coding"
"ENSG00000140525",6,"FANCI","protein_coding"
"ENSG00000159842",6,"ABR","protein_coding"
"ENSG00000169062",6,"UPF3A","protein_coding"
"ENSG00000034053",5,"APBA2","protein_coding"
"ENSG00000082397",5,"EPB41L3","protein_coding"
"ENSG00000118217",5,"ATF6","protein_coding"
"ENSG00000120549",5,"KIAA1217","protein_coding"
"ENSG00000123983",5,"ACSL3","protein_coding"
"ENSG00000127124",5,"HIVEP3","protein_coding"
"ENSG00000130402",5,"ACTN4","protein_coding"
"ENSG00000147044",5,"CASK","protein_coding"
"ENSG00000156030",5,"MIDEAS","protein_coding"
"ENSG00000039560",4,"RAI14","protein_coding"
"ENSG00000054654",4,"SYNE2","protein_coding"
"ENSG00000069424",4,"KCNAB2","protein_coding"
"ENSG00000091157",4,"WDR7","protein_coding"
"ENSG00000099783",4,"HNRNPM","protein_coding"
"ENSG00000100629",4,"CEP128","protein_coding"
"ENSG00000107651",4,"SEC23IP","protein_coding"
"ENSG00000129946",4,"SHC2","protein_coding"
"ENSG00000139220",4,"PPFIA2","protein_coding"
"ENSG00000150760",4,"DOCK1","protein_coding"
"ENSG00000151090",4,"THRB","protein_coding"
"ENSG00000163625",4,"WDFY3","protein_coding"
"ENSG00000178445",4,"GLDC","protein_coding"
"ENSG00000178662",4,"CSRNP3","protein_coding"
"ENSG00000184640",4,"SEPTIN9","protein_coding"
"ENSG00000064313",3,"TAF2","protein_coding"
"ENSG00000101849",3,"TBL1X","protein_coding"
"ENSG00000120451",3,"SNX19","protein_coding"
"ENSG00000124788",3,"ATXN1","protein_coding"
"ENSG00000127452",3,"FBXL12","protein_coding"
"ENSG00000136717",3,"BIN1","protein_coding"
"ENSG00000144504",3,"ANKMY1","protein_coding"
"ENSG00000160710",3,"ADAR","protein_coding"
"ENSG00000176049",3,"JAKMIP2","protein_coding"
"ENSG00000187239",3,"FNBP1","protein_coding"
"ENSG00000273749",3,"CYFIP1","protein_coding"
"ENSG00000032219",2,"ARID4A","protein_coding"
"ENSG00000077380",2,"DYNC1I2","protein_coding"
"ENSG00000087266",2,"SH3BP2","protein_coding"
"ENSG00000090989",2,"EXOC1","protein_coding"
"ENSG00000100239",2,"PPP6R2","protein_coding"
"ENSG00000101654",2,"RNMT","protein_coding"
"ENSG00000105357",2,"MYH14","protein_coding"
"ENSG00000110619",2,"CARS1","protein_coding"
"ENSG00000112419",2,"PHACTR2","protein_coding"
"ENSG00000114790",2,"ARHGEF26","protein_coding"
"ENSG00000117143",2,"UAP1","protein_coding"
"ENSG00000127990",2,"SGCE","protein_coding"
"ENSG00000128059",2,"PPAT","protein_coding"
"ENSG00000138757",2,"G3BP2","protein_coding"
"ENSG00000143924",2,"EML4","protein_coding"
"ENSG00000146938",2,"NLGN4X","protein_coding"
"ENSG00000152234",2,"ATP5F1A","protein_coding"
"ENSG00000155256",2,"ZFYVE27","protein_coding"
"ENSG00000186625",2,"KATNA1","protein_coding"
"ENSG00000196526",2,"AFAP1","protein_coding"
"ENSG00000057935",1,"MTA3","protein_coding"
"ENSG00000082014",1,"SMARCD3","protein_coding"
"ENSG00000101972",1,"STAG2","protein_coding"
"ENSG00000109458",1,"GAB1","protein_coding"
"ENSG00000110811",1,"P3H3","protein_coding"
"ENSG00000112305",1,"SMAP1","protein_coding"
"ENSG00000112531",1,"QKI","protein_coding"
"ENSG00000115839",1,"RAB3GAP1","protein_coding"
"ENSG00000116221",1,"MRPL37","protein_coding"
"ENSG00000118432",1,"CNR1","protein_coding"
"ENSG00000119397",1,"CNTRL","protein_coding"
"ENSG00000120334",1,"CENPL","protein_coding"
"ENSG00000130939",1,"UBE4B","protein_coding"
"ENSG00000131446",1,"MGAT1","protein_coding"
"ENSG00000139625",1,"MAP3K12","protein_coding"
"ENSG00000140157",1,"NIPA2","protein_coding"
"ENSG00000145868",1,"FBXO38","protein_coding"
"ENSG00000146950",1,"SHROOM2","protein_coding"
"ENSG00000147533",1,"GOLGA7","protein_coding"
"ENSG00000149177",1,"PTPRJ","protein_coding"
"ENSG00000167460",1,"TPM4","protein_coding"
"ENSG00000167522",1,"ANKRD11","protein_coding"
"ENSG00000167965",1,"MLST8","protein_coding"
"ENSG00000172292",1,"CERS6","protein_coding"
"ENSG00000175063",1,"UBE2C","protein_coding"
"ENSG00000184752",1,"NDUFA12","protein_coding"
"ENSG00000196235",1,"SUPT5H","protein_coding"
"ENSG00000196367",1,"TRRAP","protein_coding"
"ENSG00000206503",1,"HLA-A","protein_coding"
