isoform_id	gene_name
ENST00000353555	BSG
ENST00000333511	BSG
transcript4430.chrM.nnic	NA
ENST00000380749	HMGN1
transcript136715.chr6.nnic	NA
transcript96414.chr21.nnic	NA
transcript362054.chr1.nnic	NA
transcript7002.chrM.nnic	NA
ENST00000423266	TSC22D4
ENST00000357970	BIN1
ENST00000379214	LGR4
ENST00000349048	PFKL
transcript172096.chr1.nic	NA
ENST00000534440	RPS3
ENST00000300181	TSC22D4
transcript10195.chr6.nnic	NA
ENST00000227214	PLEKHB1
ENST00000434603	MAP6
ENST00000395479	REEP6
ENST00000358278	TPM1
ENST00000426263	SLC2A1
ENST00000370321	RPL5
ENST00000321117	DNMT3A
ENST00000453788	HSPA8
ENST00000378609	GNB1
transcript274492.chr2.nnic	NA
transcript80056.chr4.nnic	NA
transcript88316.chr7.nnic	NA
transcript116956.chr11.nnic	NA
transcript210058.chr1.nnic	NA
transcript6601.chr16.nnic	NA
transcript2117.chr1.nnic	NA
ENST00000488478	CUTA
transcript130649.chr7.nic	NA
ENST00000481238	TMED4
ENST00000303635	CAMTA1
ENST00000308361	DHX36
ENST00000344726	HMGN3
transcript214507.chr19.nnic	NA
transcript69145.chr13.nnic	NA
ENST00000315717	ARPC2
ENST00000373616	MTCH1
ENST00000380746	DNMT3A
transcript11329.chr19.nnic	NA
ENST00000369626	SLC16A1
ENST00000360796	BSCL2
ENST00000510411	HNRNPH1
ENST00000598441	SNRNP70
ENST00000351217	NPTN
transcript65857.chr6.nnic	NA
