isoform_id	logFC	logCPM	F	PValue	FDR	gene_id	gene_name	transcript_biotype
ENST00000471152	-7.70235498022966	6.99258018707192	930.877387857086	3.44583750929541e-08	0.000435002527173452	ENSG00000234851	RPL23AP42	processed_pseudogene
ENST00000252486	2.30509435859689	7.79862583206094	257.491478707794	2.02466857002828e-06	0.00431408158782991	ENSG00000130203	APOE	protein_coding
ENST00000300278	4.75129427090793	6.89490243575534	250.447306351116	2.31190360278202e-06	0.00431408158782991	ENSG00000159140	SON	protein_coding
ENST00000305454	-3.54708457189118	6.58579592060185	272.156157819899	1.70129273242724e-06	0.00431408158782991	ENSG00000169085	VXN	protein_coding
ENST00000453788	5.40356405952174	5.07486997950077	276.273510664215	1.62284431254373e-06	0.00431408158782991	ENSG00000109971	HSPA8	protein_coding
ENST00000468715	-10.1420207415572	7.35725118030031	369.295187569197	3.41736500937097e-06	0.00431408158782991	ENSG00000137970	RPL7P9	processed_pseudogene
ENST00000579085	-6.90008579505658	8.29220931072967	222.010800424944	3.40693873103044e-06	0.00431408158782991	ENSG00000161960	EIF4A1	retained_intron
ENST00000592535	4.28080955004457	4.92377360890137	241.323308831231	2.48154304848191e-06	0.00431408158782991	ENSG00000130208	APOC1	protein_coding
ENST00000652107	-4.34401473660604	5.8747530038175	220.51105692755	3.29156108628241e-06	0.00431408158782991	ENSG00000116062	MSH6	protein_coding
ENST00000702504	-3.46160444206571	7.01637777241	347.502284993255	7.8770403862114e-07	0.00431408158782991	ENSG00000290018		lncRNA
ENST00000449428	2.21189620483544	6.5847300419256	210.229189895251	3.82158148612869e-06	0.00438578588008078	ENSG00000182534	MXRA7	protein_coding
ENST00000278833	4.4768426708275	6.78980436710995	184.195762511276	6.08065611081558e-06	0.00447128680512047	ENSG00000149489	ROM1	protein_coding
ENST00000299162	-4.06148616400374	6.25258444188955	181.831829587845	6.00886411131488e-06	0.00447128680512047	ENSG00000139445	FOXN4	protein_coding
ENST00000307959	3.33920937468161	6.46872649257838	187.904724647957	5.42458235770155e-06	0.00447128680512047	ENSG00000120500	ARR3	protein_coding
ENST00000379775	-2.61023878632699	6.28242532502067	178.404055226027	6.37540894266227e-06	0.00447128680512047	ENSG00000170525	PFKFB3	protein_coding
ENST00000541515	5.68840632765704	4.26247594173839	185.744543877684	5.62350689322084e-06	0.00447128680512047	ENSG00000269955	FMC1-LUC7L2	protein_coding
ENST00000615840	3.73587214742338	5.13216397682704	192.537928233656	5.02805433973887e-06	0.00447128680512047	ENSG00000102755	FLT1	protein_coding
ENST00000697862	5.89293138799913	4.17709366476915	196.874060808415	4.69070667022689e-06	0.00447128680512047	ENSG00000126524	SBDS	nonsense_mediated_decay
ENST00000466465	3.88997321270991	4.77496219000052	175.063815186961	6.76132862566116e-06	0.00449236908264981	ENSG00000116016	EPAS1	retained_intron
