isoform_id	gene_name
ENST00000399808	IFITM3
ENST00000308162	CFL1
ENST00000304218	H1-4
ENST00000307959	ARR3
ENST00000252486	APOE
ENST00000439696	ZFP36L1
ENST00000224237	VIM
ENST00000491143	ONECUT2
ENST00000247291	AIF1L
ENST00000261980	VSX2
ENST00000699311	JAK1
ENST00000710273	JUN
ENST00000371222	JUN
ENST00000440685	S100A13
ENST00000681707	TUBB2B
ENST00000396505	DKK3
ENST00000009180	CD9
ENST00000539008	SYT7
ENST00000216392	PYGL
ENST00000652107	MSH6
ENST00000274364	IQGAP2
ENST00000369700	PRSS35
ENST00000372017	SNCG
ENST00000310227	INSM1
ENST00000606017	CD24
ENST00000360632	WWTR1
ENST00000396595	LIMCH1
ENST00000285379	CA2
ENST00000229264	GNB3
ENST00000230381	PRPH2
ENST00000372684	RIMS3
ENST00000281282	CGNL1
ENST00000515803	MYO10
ENST00000305454	VXN
ENST00000645284	ESPN
ENST00000515837	TMEM216
ENST00000323274	TYMS
ENST00000614066	TULP1
ENST00000647584	ENOSF1
ENST00000460218	CALM2
ENST00000263923	KDR
ENST00000271417	ILDR2
ENST00000521381	PIK3R1
ENST00000298815	ARHGAP42
ENST00000647561	NDUFV1
ENST00000333511	BSG
ENST00000374694	FZD8
ENST00000361981	L1CAM
ENST00000380959	NFIB
ENST00000305124	GAP43
