isoform_id	logFC	logCPM	F	PValue	FDR	gene_id	gene_name	transcript_biotype
ENST00000281321	-9.71673318800488	8.19547966181296	422.461640936416	5.58973080661758e-10	4.42151771903711e-06	ENSG00000151615	POU4F2	protein_coding
ENST00000297785	7.60303649446111	8.37341889073873	388.031631547412	8.73464789864511e-10	4.42151771903711e-06	ENSG00000165092	ALDH1A1	protein_coding
ENST00000439696	7.13694847776696	9.10133807009327	382.097045790772	9.4699458535813e-10	4.42151771903711e-06	ENSG00000185650	ZFP36L1	protein_coding
ENST00000399808	7.09792212658433	8.43605005017863	344.219976868109	1.63583658253441e-09	5.72829075288987e-06	ENSG00000142089	IFITM3	protein_coding
ENST00000610854	-5.71750123289176	7.68782476283312	290.807804689474	3.94176749634324e-09	1.10424674642559e-05	ENSG00000277586	NEFL	protein_coding
ENST00000227507	4.24775443637759	7.90394211668595	208.378192089101	2.20872483680548e-08	1.26203231427066e-05	ENSG00000110092	CCND1	protein_coding
ENST00000265770	-4.52782972429872	9.63598890288883	206.003426451538	2.34260299643301e-08	1.26203231427066e-05	ENSG00000015592	STMN4	protein_coding
ENST00000282388	4.54797287162332	8.05146630679066	209.703909197421	2.13793761937038e-08	1.26203231427066e-05	ENSG00000152518	ZFP36L2	protein_coding
ENST00000282561	6.93055659713283	7.23965915668485	247.972558981123	9.00949504021509e-09	1.26203231427066e-05	ENSG00000152661	GJA1	protein_coding
ENST00000294117	-5.36592415455249	8.29715555101551	220.798352689514	1.64002539954994e-08	1.26203231427066e-05	ENSG00000162188	GNG3	protein_coding
ENST00000297268	7.92623291732378	6.32553110750465	221.378716709877	1.61800799884806e-08	1.26203231427066e-05	ENSG00000164692	COL1A2	protein_coding
ENST00000298743	4.545688931284	7.38074741946605	232.274881298819	1.26307122148394e-08	1.26203231427066e-05	ENSG00000180447	GAS1	protein_coding
ENST00000303177	-5.49528672269077	8.66075315610993	211.25878924269	2.05831346861827e-08	1.26203231427066e-05	ENSG00000170091	NSG2	protein_coding
ENST00000305031	6.04861699535922	6.28358868167587	217.382969126802	1.77703703992096e-08	1.26203231427066e-05	ENSG00000198108	CHSY3	protein_coding
ENST00000305124	-4.22735732383491	8.1524451438013	216.169214824158	1.82896857618957e-08	1.26203231427066e-05	ENSG00000172020	GAP43	protein_coding
ENST00000342503	-5.74618853633924	7.69672224474425	227.636578048919	1.40154555943939e-08	1.26203231427066e-05	ENSG00000139970	RTN1	protein_coding
ENST00000346786	8.51345391409931	5.86455102941615	206.459701729693	2.31614922409556e-08	1.26203231427066e-05	ENSG00000101335	MYL9	protein_coding
ENST00000358278	6.64054212819566	6.50096480838983	240.319235483976	1.05946358007867e-08	1.26203231427066e-05	ENSG00000140416	TPM1	protein_coding
ENST00000367976	8.79882485726235	6.14000085800288	215.33266121799	1.86581033412289e-08	1.26203231427066e-05	ENSG00000118523	CCN2	protein_coding
ENST00000380518	5.52831978037576	7.70948298254938	244.76360257663	9.63728241964476e-09	1.26203231427066e-05	ENSG00000139219	COL2A1	protein_coding
ENST00000416167	5.10991097737037	9.05700011821992	272.068263701956	5.57199359339275e-09	1.26203231427066e-05	ENSG00000167244	IGF2	protein_coding
ENST00000491143	-4.61654375064246	8.85256614234099	226.853987775007	1.42664837984929e-08	1.26203231427066e-05	ENSG00000119547	ONECUT2	protein_coding
