seq_id	aln_start	aln_end	env_start	env_end	hmm_acc	hmm_name	type	hmm_start	hmm_end	hmm_length	score	evalue	significance	clan
BambuTx1001	18	325	17	325	PF06350.17	HSL_N	Family	2	306	306	396.3	9.299999999999999e-119	1	No_Clan
BambuTx1001	357	505	357	515	PF07859.18	Abhydrolase_3	Domain	1	151	210	121.8	3.7999999999999996e-35	1	CL0028
BambuTx1001	672	737	647	738	PF07859.18	Abhydrolase_3	Domain	146	209	210	43.6	3.4e-11	1	CL0028
BambuTx1007	88	292	86	293	PF04664.18	OGFr_N	Family	3	207	208	348.6	1.1999999999999999e-104	1	No_Clan
BambuTx1007	517	536	517	536	PF04680.18	OGFr_III	Repeat	1	20	20	27.4	3.8e-6	1	No_Clan
BambuTx1007	537	556	537	556	PF04680.18	OGFr_III	Repeat	1	20	20	21.4	3e-4	1	No_Clan
BambuTx1007	557	576	557	576	PF04680.18	OGFr_III	Repeat	1	20	20	29.6	8e-7	1	No_Clan
BambuTx1007	577	596	577	596	PF04680.18	OGFr_III	Repeat	1	20	20	29.6	8e-7	1	No_Clan
BambuTx1007	597	615	597	616	PF04680.18	OGFr_III	Repeat	1	19	20	21	4.1e-4	1	No_Clan
BambuTx1010	176	323	173	338	PF03062.24	MBOAT	Family	5	137	337	28	1.5e-6	1	CL0517
BambuTx1039	94	409	94	409	PF13896.11	Glyco_transf_49	Domain	1	329	329	353.2	1.8e-105	1	CL0110
BambuTx1045	10	93	6	96	PF00153.32	Mito_carr	Repeat	6	93	96	63.3	1.6e-17	1	No_Clan
BambuTx1045	106	199	102	202	PF00153.32	Mito_carr	Repeat	5	93	96	73.5	1e-20	1	No_Clan
BambuTx1045	208	296	205	298	PF00153.32	Mito_carr	Repeat	4	94	96	78.1	3.8e-22	1	No_Clan
BambuTx1049	9	121	8	122	PF00868.25	Transglut_N	Domain	2	113	114	122.5	1.3e-35	1	CL0159
BambuTx1049	272	359	262	359	PF01841.24	Transglut_core	Family	49	108	108	58.1	1.2e-15	1	CL0125
BambuTx1049	473	571	473	573	PF00927.27	Transglut_C	Domain	1	104	106	91.4	4.1e-26	1	CL0159
BambuTx1063	24	98	23	99	PF00611.28	FCH	Family	2	77	78	70.3	1.6e-19	1	CL0145
BambuTx108	32	98	32	98	PF01106.22	NifU	Family	1	67	67	92.2	1.9999999999999998e-26	1	CL0232
BambuTx109	103	145	103	147	PF00046.34	Homeodomain	Domain	1	43	57	46.5	2.9e-12	1	CL0123
BambuTx1100	34	164	34	164	PF00782.25	DSPc	Domain	1	133	133	124	4.2e-36	1	CL0031
BambuTx120	5	49	5	49	PF16860.10	CX9C	Domain	1	44	44	63	2.1e-17	1	CL0351
BambuTx120	58	91	58	92	PF06747.18	CHCH	Domain	1	34	35	29.4	7.4e-7	1	CL0351
BambuTx123	51	83	47	84	PF14916.11	CCDC92	Coiled-coil	5	37	57	43	3.7e-11	1	No_Clan
BambuTx123	305	419	303	419	PF14917.11	CCDC74_C	Coiled-coil	3	126	126	132.1	1.6999999999999998e-38	1	No_Clan
BambuTx130	552	607	552	607	PF12906.12	RINGv	Domain	1	47	47	54.5	1.1e-14	1	CL0229
BambuTx133	53	104	53	105	PF00014.28	Kunitz_BPTI	Domain	1	52	53	69.8	2e-19	1	No_Clan
BambuTx133	124	176	124	176	PF00014.28	Kunitz_BPTI	Domain	1	53	53	68.7	4.3e-19	1	No_Clan
BambuTx133	216	268	216	268	PF00014.28	Kunitz_BPTI	Domain	1	53	53	69	3.5e-19	1	No_Clan
BambuTx138	3	153	2	154	PF00160.26	Pro_isomerase	Domain	2	158	159	182.3	9e-54	1	CL0475
BambuTx139	6	332	5	337	PF01784.23	DUF34_NIF3	Family	2	242	244	247.2	2.1e-73	1	No_Clan
BambuTx140	33	359	32	364	PF01784.23	DUF34_NIF3	Family	2	242	244	246.8	2.7999999999999998e-73	1	No_Clan
BambuTx141	93	159	93	168	PF07815.19	Abi_HHR	Family	1	67	77	121.2	1.7999999999999998e-35	1	No_Clan
BambuTx141	390	434	390	435	PF00018.33	SH3_1	Domain	1	47	48	57.1	1.2e-15	1	CL0010
BambuTx143	85	103	85	103	PF10522.14	RII_binding_1	Motif	1	19	19	19.4	9.9e-4	1	No_Clan
BambuTx143	307	335	304	335	PF00418.24	Tubulin-binding	Family	4	31	31	45.3	6.9e-12	1	No_Clan
BambuTx143	336	365	336	366	PF00418.24	Tubulin-binding	Family	1	30	31	58.2	6.5e-16	1	No_Clan
BambuTx143	367	398	367	398	PF00418.24	Tubulin-binding	Family	1	31	31	57.9	8.1e-16	1	No_Clan
BambuTx144	114	136	114	136	PF00096.31	zf-C2H2	Domain	1	23	23	24	4.5e-5	1	CL0361
BambuTx144	142	164	142	164	PF00096.31	zf-C2H2	Domain	1	23	23	18.4	0.0025	1	CL0361
BambuTx144	170	193	170	193	PF00096.31	zf-C2H2	Domain	1	23	23	18	0.0036	1	CL0361
BambuTx154	120	179	119	179	PF13855.11	LRR_8	Repeat	2	61	61	56.1	2.8e-15	1	CL0022
BambuTx154	216	275	215	275	PF13855.11	LRR_8	Repeat	2	61	61	35.9	5.5e-9	1	CL0022
BambuTx154	322	373	320	373	PF13855.11	LRR_8	Repeat	11	61	61	30.2	3.3e-7	1	CL0022
BambuTx154	431	516	427	516	PF07679.21	I-set	Domain	6	90	90	62.2	4.5e-17	1	CL0159
