gene_id	isoform_id	condition_1	condition_2	gene_value_1	gene_value_2	iso_value_1	iso_value_2	dIF	IF1	IF2	isoform_switch_q_value	DTE_log2FC	DTE_logCPM	DTE_F	DTE_pval	DTE_qval	DGE_log2FC	DGE_logCPM	DGE_F	DGE_pval	DGE_qval	DTU	DTE	DGE	DTU_qval	gene_name	gene_biotype	isoform_biotype	disease_category
ENSG00000033867	ENST00000419036	FT	RGC	99.70604500000002	191.40577500000003	26.24635	84.74157500000001	0.1735	0.26705	0.44055	0.01990673912245201	-1.63517751082878	6.98254478264968	34.671896175067	9.6792131476037e-4	0.0742251867436568	-0.713294746908678	8.68258250235031	6.83273287837387	0.0479044659966513	0.194571346744061	TRUE	FALSE	FALSE	0.01990673912245201	SLC4A7	protein_coding	protein_coding	Cone or cone-rod dystrophy, autosomal recessive
ENSG00000079841	ENST00000524197	FT	RGC	10.50038	23.168265	1.273255	0.41557	-0.1027	0.1206	0.0179	0.01739425201352657	1.74904875726094	1.35517132633968	1.64393241996	0.245917914562862	0.684722502562334	-1.42366210836754	7.17862435462164	43.2894444058467	0.00126479251417589	0.0274568386363097	TRUE	FALSE	TRUE	0.01739425201352657	RIMS1	protein_coding	retained_intron	Cone or cone-rod dystrophy, autosomal dominant
ENSG00000079841	ENST00000697193	FT	RGC	10.50038	23.168265	1.4310649999999998	11.43423	0.34580000000000005	0.1387	0.4845	6.678452321737813e-5	-2.89527968980553	3.87974358449714	18.7769375428805	0.00461780807062389	0.165853996877742	-1.42366210836754	7.17862435462164	43.2894444058467	0.00126479251417589	0.0274568386363097	TRUE	FALSE	TRUE	6.678452321737813e-5	RIMS1	protein_coding	protein_coding	Cone or cone-rod dystrophy, autosomal dominant
ENSG00000101680	ENST00000492048	FT	RGC	11.849765	8.725349999999999	0	1.27528	0.1481	0	0.1481	3.926449402860455e-4	-6.3326941620408	1.01441398139767	9.10940734254389	0.0283186187719398	0.387224459640566	-0.0462949794117176	4.36294742376489	0.0443208165498759	0.841648598588619	0.929573512754578	TRUE	FALSE	FALSE	3.926449402860455e-4	LAMA1	protein_coding	retained_intron	Syndromic/systemic diseases with retinopathy, autosomal recessive
ENSG00000103351	ENST00000341633	FT	RGC	20.8814	16.39904	0.232915	2.5415	0.1457	0.01109999999999999	0.1568	4.3997058778703706e-4	-3.33527335742814	1.90233899125129	8.11592525816849	0.0283871937205672	0.387624316970146	0.129232459350639	5.02867185529794	0.34109631243796	0.584795284960146	0.785500493248769	TRUE	FALSE	FALSE	4.3997058778703706e-4	CLUAP1	protein_coding	protein_coding	Leber congenital amaurosis, autosomal recessive
ENSG00000103351	ENST00000576634	FT	RGC	20.8814	16.39904	18.576635000000003	9.974139999999998	-0.2853000000000001	0.8913500000000001	0.60605	3.981048653865118e-6	0.94820139680284	5.06983129033196	7.81350985878788	0.030492564493335	0.399018824571116	0.129232459350639	5.02867185529794	0.34109631243796	0.584795284960146	0.785500493248769	TRUE	FALSE	FALSE	3.981048653865118e-6	CLUAP1	protein_coding	protein_coding	Leber congenital amaurosis, autosomal recessive
ENSG00000103494	ENST00000647211	FT	RGC	12.076315	15.320785	1.409205	0	-0.1162	0.1162	0	0.00897741585580883	6.50091314394504	1.20444025010729	9.16962724814001	0.0279906688167127	0.385707255180259	-0.397571689663847	5.39764110284934	2.42516741414777	0.180873977846709	0.412581813503392	TRUE	FALSE	FALSE	0.00897741585580883	RPGRIP1L	protein_coding	protein_coding	Syndromic/systemic diseases with retinopathy, autosomal recessive
ENSG00000108370	ENST00000638125	FT	RGC	6.273185	9.411305	2.4184900000000003	0.72868	-0.32289999999999996	0.3988	0.0759	0.00431519134493722	1.83180379770844	2.08884691842487	3.02253488042028	0.131484149126547	0.596934945922818	-0.978645537530077	4.08437060042163	15.7041159489236	0.0109278334257554	0.0872160487068164	TRUE	FALSE	FALSE	0.00431519134493722	RGS9	protein_coding	protein_coding_CDS_not_defined	Other retinopathy, autosomal recessive
ENSG00000110871	ENST00000288532	FT	RGC	23.36922	24.80121	19.74101	13.231455	-0.31145	0.8429500000000001	0.5315000000000001	3.139657202554969e-5	0.590386421495602	5.27896977969728	2.5522478703604	0.159963671049614	0.618337015017528	-0.0338449550085698	4.99641561245439	0.0278299429719933	0.874109045860955	0.94571286125221	TRUE	FALSE	FALSE	3.139657202554969e-5	COQ5	protein_coding	protein_coding	Retinitis pigmentosa, autosomal recessive
ENSG00000115380	ENST00000355426	FT	RGC	23.00373500000001	3.915585	7.744355	0	-0.33694999999999997	0.33694999999999997	0	2.6049558257608036e-5	8.94321112569288	3.28813316998362	50.7919864983776	7.3905673011724e-4	0.0666091433948502	1.24067922280243	4.35630724306275	18.6265374530806	0.00777403713569706	0.0716778052728196	TRUE	FALSE	FALSE	2.6049558257608036e-5	EFEMP1	protein_coding	protein_coding	Macular degeneration, autosomal dominant
