gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	Rank
geneComp_00007485	ENSG00000139970	RTN1	FT	RGC	4.1136027934980226e-60	1
geneComp_00000726	ENSG00000047932	GOPC	FT	RGC	7.023923954911648e-47	2
geneComp_00001782	ENSG00000087274	ADD1	FT	RGC	2.767514004961776e-46	3
geneComp_00003031	ENSG00000105379	ETFB	FT	RGC	9.003975048096611e-39	4
geneComp_00011460	ENSG00000167792	NDUFV1	FT	RGC	2.3226837096424206e-37	5
geneComp_00000291	ENSG00000007372	PAX6	FT	RGC	2.592398175338939e-34	6
geneComp_00002610	ENSG00000102119	EMD	FT	RGC	2.783201757079782e-34	7
geneComp_00011187	ENSG00000166598	HSP90B1	FT	RGC	1.577379661025878e-31	8
geneComp_00000220	ENSG00000005810	MYCBP2	FT	RGC	2.620090582337716e-31	9
geneComp_00015285	ENSG00000189171	S100A13	FT	RGC	2.2873592299990425e-28	10
geneComp_00005096	ENSG00000122705	CLTA	FT	RGC	3.3486795142558156e-28	11
geneComp_00005819	ENSG00000129003	VPS13C	FT	RGC	1.9742873578897213e-27	12
geneComp_00010490	ENSG00000163875	MEAF6	FT	RGC	4.473195849609755e-25	13
geneComp_00015422	ENSG00000196367	TRRAP	FT	RGC	2.357271029519038e-24	14
geneComp_00001629	ENSG00000082805	ERC1	FT	RGC	2.8094150750931284e-23	15
geneComp_00002600	ENSG00000102038	SMARCA1	FT	RGC	2.852130144265794e-23	16
geneComp_00010952	ENSG00000165629	ATP5F1C	FT	RGC	3.962039579589766e-23	17
geneComp_00014229	ENSG00000183648	NDUFB1	FT	RGC	8.182014395703693e-23	18
geneComp_00001090	ENSG00000067225	PKM	FT	RGC	1.0479715386412182e-22	19
geneComp_00011855	ENSG00000169727	GPS1	FT	RGC	9.928950050309928e-22	20
geneComp_00009198	ENSG00000154310	TNIK	FT	RGC	1.3361507232087439e-21	21
geneComp_00008789	ENSG00000150672	DLG2	FT	RGC	1.7222302972251405e-21	22
geneComp_00002202	ENSG00000100106	TRIOBP	FT	RGC	3.1463502775266683e-20	23
geneComp_00008836	ENSG00000151150	ANK3	FT	RGC	3.1463502775266683e-20	24
geneComp_00003925	ENSG00000112305	SMAP1	FT	RGC	2.6594539774592406e-19	25
geneComp_00007546	ENSG00000140416	TPM1	FT	RGC	2.976906059866379e-19	26
geneComp_00000837	ENSG00000055211	GINM1	FT	RGC	6.016541715763493e-19	27
geneComp_00006687	ENSG00000135317	SNX14	FT	RGC	7.974477847145326e-19	28
geneComp_00004602	ENSG00000118007	STAG1	FT	RGC	1.5877448893970762e-18	29
geneComp_00015936	ENSG00000198363	ASPH	FT	RGC	1.646982930441823e-18	30
geneComp_00001617	ENSG00000082397	EPB41L3	FT	RGC	1.896529455231781e-18	31
geneComp_00008655	ENSG00000149177	PTPRJ	FT	RGC	2.335604549558871e-18	32
geneComp_00006944	ENSG00000136717	BIN1	FT	RGC	1.1728232544372555e-17	33
geneComp_00031959	ENSG00000279170	TSTD3	FT	RGC	1.5384245858774082e-17	34
geneComp_00032767	ENSG00000283154	IQCJ-SCHIP1	FT	RGC	5.971265610871139e-17	35
geneComp_00005401	ENSG00000125354	SEPTIN6	FT	RGC	7.928847858793191e-17	36
geneComp_00006355	ENSG00000133026	MYH10	FT	RGC	9.52369463919392e-17	37
geneComp_00013976	ENSG00000182287	AP1S2	FT	RGC	2.4674500775551917e-16	38
geneComp_00005553	ENSG00000126214	KLC1	FT	RGC	3.4526415502244645e-16	39
geneComp_00007772	ENSG00000142192	APP	FT	RGC	5.117933411222968e-16	40
geneComp_00008465	ENSG00000147364	FBXO25	FT	RGC	6.293056687516769e-16	41
geneComp_00002270	ENSG00000100321	SYNGR1	FT	RGC	7.40448209867178e-16	42
geneComp_00005087	ENSG00000122644	ARL4A	FT	RGC	1.0943628172383027e-15	43
geneComp_00002439	ENSG00000101150	TPD52L2	FT	RGC	1.143582834092602e-15	44
geneComp_00005702	ENSG00000127914	AKAP9	FT	RGC	3.0290303580743706e-15	45
geneComp_00001314	ENSG00000074054	CLASP1	FT	RGC	3.219292648761526e-15	46
geneComp_00005481	ENSG00000125814	NAPB	FT	RGC	3.5623082046634905e-15	47
geneComp_00002557	ENSG00000101811	CSTF2	FT	RGC	1.3786826162646934e-14	48
geneComp_00006902	ENSG00000136436	CALCOCO2	FT	RGC	1.5312192605842136e-14	49
geneComp_00005587	ENSG00000126524	SBDS	FT	RGC	1.8181913043909056e-14	50
geneComp_00004510	ENSG00000117143	UAP1	FT	RGC	3.98659771888965e-14	51
geneComp_00002836	ENSG00000104093	DMXL2	FT	RGC	4.043092971970916e-14	52
geneComp_00001780	ENSG00000087266	SH3BP2	FT	RGC	5.181125857674032e-14	53
geneComp_00007352	ENSG00000138867	GUCD1	FT	RGC	1.1002885688753592e-13	54
geneComp_00008228	ENSG00000145416	MARCHF1	FT	RGC	1.6262427384601525e-13	55
geneComp_00012946	ENSG00000175582	RAB6A	FT	RGC	3.0855331098615616e-13	56
geneComp_00001947	ENSG00000091039	OSBPL8	FT	RGC	3.2155359457509704e-13	57
geneComp_00000501	ENSG00000020426	MNAT1	FT	RGC	1.0631083830590553e-12	58
geneComp_00008252	ENSG00000145687	SSBP2	FT	RGC	1.3960946950785868e-12	59
geneComp_00002878	ENSG00000104408	EIF3E	FT	RGC	2.1054647588640397e-12	60
geneComp_00015742	ENSG00000197608	ZNF841	FT	RGC	2.537186933589563e-12	61
geneComp_00005224	ENSG00000123983	ACSL3	FT	RGC	3.932977280214887e-12	62
geneComp_00036044	ENSG00000291118		FT	RGC	3.932977280214887e-12	63
geneComp_00007468	ENSG00000139793	MBNL2	FT	RGC	4.579251499468378e-12	64
geneComp_00001120	ENSG00000068366	ACSL4	FT	RGC	4.910665585208048e-12	65
geneComp_00015498	ENSG00000196628	TCF4	FT	RGC	4.9147647633317974e-12	66
geneComp_00012289	ENSG00000171867	PRNP	FT	RGC	5.121812954036337e-12	67
geneComp_00007842	ENSG00000142856	ITGB3BP	FT	RGC	6.120284351187043e-12	68
geneComp_00009096	ENSG00000153266	FEZF2	FT	RGC	7.568250945356784e-12	69
geneComp_00008421	ENSG00000147044	CASK	FT	RGC	1.1066189609082554e-11	70
geneComp_00002406	ENSG00000100979	PLTP	FT	RGC	1.37491973634867e-11	71
geneComp_00001271	ENSG00000072756	TRNT1	FT	RGC	1.9870724978287385e-11	72
geneComp_00003186	ENSG00000106089	STX1A	FT	RGC	4.7390659459481715e-11	73
geneComp_00015891	ENSG00000198160	MIER1	FT	RGC	5.563682080097755e-11	74
geneComp_00014690	ENSG00000186001	LRCH3	FT	RGC	5.841674833683902e-11	75
geneComp_00015071	ENSG00000188157	AGRN	FT	RGC	6.938340803966799e-11	76
geneComp_00001099	ENSG00000067606	PRKCZ	FT	RGC	7.610632553624718e-11	77
geneComp_00000704	ENSG00000046653	GPM6B	FT	RGC	7.869840944630507e-11	78
geneComp_00006597	ENSG00000134769	DTNA	FT	RGC	8.679990487979992e-11	79
geneComp_00014440	ENSG00000184752	NDUFA12	FT	RGC	9.574163263984748e-11	80
