isoform_id	hmm_acc	hmm_name	clan	orf_aa_start	orf_aa_end	type	bit_score	E_value	significant	residue	domain_isotype	domain_isotype_simple	transcriptStart	transcriptEnd	pfamStarExon	pfamEndExon	pfamStartGenomic	pfamEndGenomic
BambuTx102	PF00596.26	Aldolase_II	No_Clan	147	329	Domain	157.1	5.3e-46	1	NA	Reference	Reference	593	1141	4	9	2884595	2899261
BambuTx105	PF00640.28	PID	CL0266	148	252	Domain	33.8	3.5e-8	1	NA	Complex	Non-reference	623	937	2	5	38014920	38021651
BambuTx105	PF11830.13	DUF3350	No_Clan	561	616	Family	80.6	8.3e-23	1	NA	Deletion	Non-reference	1862	2029	12	12	38089949	38090116
BambuTx105	PF00566.24	RabGAP-TBC	CL0816	674	885	Family	191.5	1.8e-56	1	NA	Reference	Reference	2201	2836	14	17	38103007	38125041
BambuTx111	PF06743.20	FAST_1	No_Clan	408	479	Family	66.5	1.7e-18	1	NA	Reference	Reference	1294	1509	2	2	7866862	7866647
BambuTx111	PF08368.17	FAST_2	No_Clan	490	580	Family	93.7	9e-27	1	NA	Reference	Reference	1540	1812	3	5	7865954	7861612
BambuTx111	PF08373.15	RAP	CL0236	593	650	Domain	66.5	1.9e-18	1	NA	Reference	Reference	1849	2022	6	7	7861256	7859474
BambuTx125	PF00134.28	Cyclin_N	CL0065	16	150	Domain	72.7	2.7e-20	1	NA	Insertion	Non-reference	150	554	3	4	163439302	163441263
BambuTx128	PF02146.22	SIR2	CL0063	58	256	Family	160.1	6.4e-47	1	NA	Insertion	Non-reference	407	1003	4	9	13588387	13600860
BambuTx129	PF00125.29	Histone	CL0012	2	102	Domain	90.7	9.3e-26	1	NA	Truncation	Non-reference	61	363	1	1	27146795	27146493
BambuTx13	PF00538.24	Linker_histone	CL0123	120	193	Domain	69.6	2.5e-19	1	NA	Reference	Reference	501	722	4	6	20773489	20767626
BambuTx13	PF00538.24	Linker_histone	CL0123	218	291	Domain	41.6	1.3e-10	1	NA	Complex	Non-reference	795	1016	7	9	20765501	20749877
BambuTx13	PF00538.24	Linker_histone	CL0123	302	374	Domain	66.8	1.7e-18	1	NA	Reference	Reference	1047	1265	9	10	20749846	20747561
BambuTx132	PF07896.17	DUF1674	No_Clan	59	108	Family	78.7	3.8e-22	1	NA	Reference	Reference	207	356	2	3	70579524	70588721
BambuTx153	PF02214.27	BTB_2	CL0033	1	70	Domain	45.2	1.1e-11	1	NA	Truncation	Non-reference	652	861	6	8	25439633	25436433
BambuTx153	PF00805.27	Pentapeptide	CL0505	129	166	Repeat	38.2	9.4e-10	1	NA	Reference	Reference	1036	1149	10	11	25435449	25433409
BambuTx153	PF00805.27	Pentapeptide	CL0505	224	262	Repeat	46.9	1.7e-12	1	NA	Reference	Reference	1321	1437	12	13	25432545	25429899
BambuTx154	PF14792.11	DNA_pol_B_palm	CL0260	1	108	Domain	120.7	4.1e-35	1	NA	Reference	Reference	542	865	7	12	42357209	42369861
BambuTx154	PF14791.11	DNA_pol_B_thumb	No_Clan	114	180	Family	72.4	2.5e-20	1	NA	Reference	Reference	881	1081	12	13	42369877	42371651
BambuTx17	PF00041.26	fn3	CL0159	83	171	Domain	49.4	4.8e-13	1	NA	Reference	Reference	316	582	2	3	32868989	32868230
BambuTx178	PF00001.26	7tm_1	CL0192	66	311	Family	134.4	6e-39	1	NA	Reference	Reference	676	1413	4	5	110942018	110875583
BambuTx181	PF07528.19	DZF_N	CL0260	3	213	Domain	139.7	1.5e-40	1	NA	Complex	Non-reference	328	960	3	7	123179224	123160451
BambuTx181	PF20965.2	DZF_C	No_Clan	217	346	Domain	128	2.9e-37	1	NA	Reference	Reference	970	1359	7	10	123160441	123158019
BambuTx181	PF00035.31	dsrm	CL0196	389	451	Domain	39.4	7.9e-10	1	NA	Complex	Non-reference	1486	1674	12	13	123147028	123139673
BambuTx181	PF00035.31	dsrm	CL0196	512	574	Domain	53.6	3.1e-14	1	NA	Reference	Reference	1855	2043	14	15	123136479	123136092
BambuTx183	PF13873.11	Myb_DNA-bind_5	CL0123	8	85	Domain	90.6	5.6e-26	1	NA	Reference	Reference	224	457	1	1	128067080	128066847
BambuTx188	PF00586.29	AIRS	CL0804	67	180	Domain	56	5.5e-15	1	NA	Reference	Reference	684	1025	3	5	13338803	13333837
BambuTx188	PF02769.27	AIRS_C	No_Clan	192	368	Domain	74.5	1.2e-20	1	NA	Insertion	Non-reference	1059	1589	6	9	13329775	13319217
BambuTx190	PF00226.36	DnaJ	CL0392	110	171	Domain	94.6	3.4e-27	1	NA	Reference	Reference	411	596	3	4	72343495	72341115
BambuTx190	PF09320.16	DUF1977	No_Clan	261	366	Family	100.7	5.9e-29	1	NA	Reference	Reference	864	1181	6	8	72338254	72335840
BambuTx192	PF00536.36	SAM_1	CL0003	10	76	Domain	36	8e-9	1	NA	Reference	Reference	300	500	2	2	75150556	75150756
BambuTx192	PF14360.11	PAP2_C	CL0525	292	365	Domain	99.4	1.6e-28	1	NA	Reference	Reference	1146	1367	5	6	75176147	75176539
BambuTx193	PF00335.25	Tetraspanin	CL0347	15	260	Family	190.5	4e-56	1	NA	Insertion	Non-reference	284	1021	3	10	80489276	80517943
BambuTx2	PF02984.24	Cyclin_C	CL0065	1	87	Domain	26.2	7.6e-6	1	NA	Complex	Non-reference	2627	2887	6	8	1390858	1390309
BambuTx218	PF01209.23	Ubie_methyltran	CL0063	1	245	Family	277.9	6.7e-83	1	NA	Insertion	Non-reference	354	1088	3	8	120522322	120503790
BambuTx225	PF07690.21	MFS_1	CL0015	8	400	Family	64	1.3e-17	1	NA	Insertion	Non-reference	278	1456	2	5	28717977	28704044
BambuTx229	PF00153.32	Mito_carr	No_Clan	6	96	Repeat	63.3	1.6e-17	1	NA	Reference	Reference	337	609	2	3	40793242	40799289
