**** Job starts ****
2025-05-07 14:18:16
**** JHPCE info ****
User: sparthib
Job id: 16522061
Job name: filter_bam
Node name: compute-167
****
Loading LIBD SLURM module for gatk/4.5.0.0
Loading LIBD SLURM module for samtools/1.18
🔄 Processing sample: SRR1091091
🔹 Step 4a: Base recalibration (BQSR - BaseRecalibrator)
14:18:23.905 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/jhpce/shared/libd/core/gatk/4.5.0.0/gatk/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
14:18:24.299 INFO  BaseRecalibrator - ------------------------------------------------------------
14:18:24.302 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
14:18:24.302 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
14:18:24.302 INFO  BaseRecalibrator - Executing as sparthib@compute-167.cm.cluster on Linux v5.14.0-427.13.1.el9_4.x86_64 amd64
14:18:24.302 INFO  BaseRecalibrator - Java runtime: Java HotSpot(TM) 64-Bit Server VM v19.0.1+10-21
14:18:24.303 INFO  BaseRecalibrator - Start Date/Time: May 7, 2025 at 2:18:23 PM EDT
14:18:24.303 INFO  BaseRecalibrator - ------------------------------------------------------------
14:18:24.303 INFO  BaseRecalibrator - ------------------------------------------------------------
14:18:24.303 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
14:18:24.303 INFO  BaseRecalibrator - Picard Version: 3.1.1
14:18:24.303 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
14:18:24.303 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
14:18:24.303 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
14:18:24.303 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
14:18:24.303 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
14:18:24.303 INFO  BaseRecalibrator - Deflater: IntelDeflater
14:18:24.304 INFO  BaseRecalibrator - Inflater: IntelInflater
14:18:24.304 INFO  BaseRecalibrator - GCS max retries/reopens: 20
14:18:24.304 INFO  BaseRecalibrator - Requester pays: disabled
14:18:24.304 INFO  BaseRecalibrator - Initializing engine
14:18:24.473 INFO  FeatureManager - Using codec VCFCodec to read file file:///dcs04/hicks/data/sparthib/retina_lrs/09_ASE/H9_DNA_Seq_data/known_sites/Homo_sapiens_assembly38.dbsnp138.vcf
14:18:24.741 INFO  FeatureManager - Using codec VCFCodec to read file file:///dcs04/hicks/data/sparthib/retina_lrs/09_ASE/H9_DNA_Seq_data/known_sites/Mills_and_1000G_gold_standard.indels.hg38.vcf.gz
14:18:24.997 INFO  FeatureManager - Using codec VCFCodec to read file file:///dcs04/hicks/data/sparthib/retina_lrs/09_ASE/H9_DNA_Seq_data/known_sites/1000G_phase1.snps.high_confidence.hg38.vcf.gz
14:18:25.461 INFO  BaseRecalibrator - Done initializing engine
14:18:25.466 INFO  BaseRecalibrationEngine - The covariates being used here: 
14:18:25.467 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
14:18:25.467 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
14:18:25.467 INFO  BaseRecalibrationEngine - 	ContextCovariate
14:18:25.467 INFO  BaseRecalibrationEngine - 	CycleCovariate
14:18:25.472 INFO  ProgressMeter - Starting traversal
14:18:25.473 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
14:18:35.482 INFO  ProgressMeter -         chr1:7879949              0.2                754000        4521739.1
14:18:45.489 INFO  ProgressMeter -        chr1:16364907              0.3               1584000        4748438.7
14:18:55.488 INFO  ProgressMeter -        chr1:24461766              0.5               2409000        4815592.2
14:19:05.500 INFO  ProgressMeter -        chr1:33002816              0.7               3262000        4889821.6
14:19:15.505 INFO  ProgressMeter -        chr1:41762529              0.8               4099000        4915654.0
14:19:25.510 INFO  ProgressMeter -        chr1:50974681              1.0               4935000        4931958.6
14:19:35.520 INFO  ProgressMeter -        chr1:59735137              1.2               5753000        4927834.2
14:19:45.521 INFO  ProgressMeter -        chr1:68831033              1.3               6565000        4920797.5
14:19:55.526 INFO  ProgressMeter -        chr1:78753962              1.5               7361000        4904499.6
14:20:05.531 INFO  ProgressMeter -        chr1:88364740              1.7               8154000        4889564.1
14:20:15.539 INFO  ProgressMeter -        chr1:97637783              1.8               8977000        4893609.3
14:20:25.542 INFO  ProgressMeter -       chr1:107596184              2.0               9741000        4867701.1
14:20:35.545 INFO  ProgressMeter -       chr1:116660028              2.2              10570000        4875761.1
14:20:45.550 INFO  ProgressMeter -       chr1:124893349              2.3              11594000        4966125.8
14:20:55.551 INFO  ProgressMeter -       chr1:148764697              2.5              12687000        5072162.5
14:21:05.562 INFO  ProgressMeter -       chr1:157618868              2.7              13559000        5081830.0
14:21:15.562 INFO  ProgressMeter -       chr1:166505173              2.8              14359000        5065230.6
14:21:25.562 INFO  ProgressMeter -       chr1:175455343              3.0              15142000        5044838.9
14:21:35.563 INFO  ProgressMeter -       chr1:184457831              3.2              15948000        5033826.1
14:21:45.566 INFO  ProgressMeter -       chr1:194735174              3.3              16710000        5010670.0
14:21:55.575 INFO  ProgressMeter -       chr1:203905858              3.5              17498000        4997001.5
14:22:05.584 INFO  ProgressMeter -       chr1:212646201              3.7              18298000        4987869.7
14:22:15.585 INFO  ProgressMeter -       chr1:221939329              3.8              19076000        4973925.7
14:22:25.590 INFO  ProgressMeter -       chr1:230725871              4.0              19906000        4974075.1
14:22:35.591 INFO  ProgressMeter -       chr1:239504404              4.2              20690000        4963257.3
14:22:45.602 INFO  ProgressMeter -       chr1:248418047              4.3              21478000        4954022.6
14:22:55.613 INFO  ProgressMeter -         chr2:8549914              4.5              22252000        4942326.2
14:23:05.622 INFO  ProgressMeter -        chr2:17763563              4.7              23040000        4934534.6
14:23:15.631 INFO  ProgressMeter -        chr2:26922721              4.8              23849000        4931606.0
14:23:25.638 INFO  ProgressMeter -        chr2:35934283              5.0              24633000        4923891.9
14:23:35.648 INFO  ProgressMeter -        chr2:44306890              5.2              25396000        4912581.6
14:23:45.652 INFO  ProgressMeter -        chr2:52995681              5.3              26144000        4899259.5
14:23:55.654 INFO  ProgressMeter -        chr2:61963770              5.5              26921000        4892044.1
14:24:05.657 INFO  ProgressMeter -        chr2:70896260              5.7              27746000        4893704.6
14:24:15.660 INFO  ProgressMeter -        chr2:80058464              5.8              28539000        4889787.5
14:24:25.670 INFO  ProgressMeter -        chr2:90049494              6.0              29380000        4893988.6
14:24:35.672 INFO  ProgressMeter -       chr2:101284001              6.2              30310000        4912493.0
14:24:45.681 INFO  ProgressMeter -       chr2:110897724              6.3              31127000        4912100.7
14:24:55.686 INFO  ProgressMeter -       chr2:120224730              6.5              31938000        4910856.4
14:25:05.689 INFO  ProgressMeter -       chr2:129318498              6.7              32709000        4903702.0
14:25:15.696 INFO  ProgressMeter -       chr2:138797398              6.8              33517000        4902272.4
