gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	Rank
geneComp_00095178	ENSG00000109971	HSPA8	RO_D200	RO_D45	1.2936950484296489e-108	1
geneComp_00098356	ENSG00000135316	SYNCRIP	RO_D200	RO_D45	5.644075949122631e-76	2
geneComp_00104241	ENSG00000172270	BSG	RO_D200	RO_D45	6.122637094671093e-63	3
geneComp_00093634	ENSG00000099364	FBXL19	RO_D200	RO_D45	4.052666713877e-62	4
geneComp_00094398	ENSG00000104341	LAPTM4B	RO_D200	RO_D45	5.368976365803442e-60	5
geneComp_00096059	ENSG00000116857	TMEM9	RO_D200	RO_D45	2.0381468932064803e-52	6
geneComp_00097452	ENSG00000128951	DUT	RO_D200	RO_D45	2.7009299906498696e-46	7
geneComp_00096980	ENSG00000124795	DEK	RO_D200	RO_D45	9.012343023479603e-45	8
geneComp_00102579	ENSG00000164898	FMC1	RO_D200	RO_D45	2.7787016912002688e-42	9
geneComp_00092264	ENSG00000051108	HERPUD1	RO_D200	RO_D45	5.6102238953489216e-42	10
geneComp_00103065	ENSG00000166925	TSC22D4	RO_D200	RO_D45	1.1095406379834627e-41	11
geneComp_00101371	ENSG00000158417	EIF5B	RO_D200	RO_D45	4.5715777144014375e-41	12
geneComp_00092980	ENSG00000078369	GNB1	RO_D200	RO_D45	2.884537052647106e-40	13
geneComp_00107047	ENSG00000187239	FNBP1	RO_D200	RO_D45	3.177345677497072e-39	14
geneComp_00103057	ENSG00000166900	STX3	RO_D200	RO_D45	4.421407353123309e-36	15
geneComp_00091911	ENSG00000013441	CLK1	RO_D200	RO_D45	1.0515700549238804e-34	16
geneComp_00092222	ENSG00000048649	RSF1	RO_D200	RO_D45	9.545349664460743e-32	17
geneComp_00094232	ENSG00000102935	ZNF423	RO_D200	RO_D45	4.584106016194807e-31	18
geneComp_00094147	ENSG00000102225	CDK16	RO_D200	RO_D45	1.280256206745831e-29	19
geneComp_00094915	ENSG00000107816	LZTS2	RO_D200	RO_D45	1.280256206745831e-29	20
geneComp_00092456	ENSG00000064313	TAF2	RO_D200	RO_D45	1.7205863510922366e-28	21
geneComp_00103035	ENSG00000166833	NAV2	RO_D200	RO_D45	2.334177684093744e-27	22
geneComp_00098168	ENSG00000134222	PSRC1	RO_D200	RO_D45	4.309696890502112e-27	23
geneComp_00094872	ENSG00000107331	ABCA2	RO_D200	RO_D45	2.79364702116714e-26	24
geneComp_00103124	ENSG00000167178	ISLR2	RO_D200	RO_D45	3.387398231483031e-26	25
geneComp_00093074	ENSG00000081019	RSBN1	RO_D200	RO_D45	6.006476315650695e-26	26
geneComp_00095689	ENSG00000114115	RBP1	RO_D200	RO_D45	7.406587317183304e-26	27
geneComp_00102522	ENSG00000164663	USP49	RO_D200	RO_D45	8.69895004113687e-26	28
geneComp_00103242	ENSG00000167699	GLOD4	RO_D200	RO_D45	2.5794074836196264e-25	29
geneComp_00095073	ENSG00000108963	DPH1	RO_D200	RO_D45	6.624792990032631e-25	30
