seq_id,aln_start,aln_end,env_start,env_end,hmm_acc,hmm_name,type,hmm_start,hmm_end,hmm_length,score,evalue,significance,clan
BambuTx1001,18,325,17,325,PF06350.17,HSL_N,Family,2,306,306,396.3,9.3e-119,1,No_Clan
BambuTx1001,357,505,357,515,PF07859.18,Abhydrolase_3,Domain,1,151,210,121.8,3.8e-35,1,CL0028
BambuTx1001,672,737,647,738,PF07859.18,Abhydrolase_3,Domain,146,209,210,43.6,3.4e-11,1,CL0028
BambuTx102,111,196,111,198,PF00250.23,Forkhead,Domain,1,86,88,118.8,1e-34,1,CL0123
BambuTx1030,102,189,102,190,PF15711.10,ILEI,Domain,1,89,90,101.9,2.5e-29,1,No_Clan
BambuTx109,103,145,103,147,PF00046.34,Homeodomain,Domain,1,43,57,46.5,2.9e-12,1,CL0123
BambuTx1100,34,164,34,164,PF00782.25,DSPc,Domain,1,133,133,124.0,4.2e-36,1,CL0031
BambuTx120,5,49,5,49,PF16860.10,CX9C,Domain,1,44,44,63.0,2.1e-17,1,CL0351
BambuTx120,58,91,58,92,PF06747.18,CHCH,Domain,1,34,35,29.4,7.4e-07,1,CL0351
BambuTx143,85,103,85,103,PF10522.14,RII_binding_1,Motif,1,19,19,19.4,0.00099,1,No_Clan
BambuTx143,307,335,304,335,PF00418.24,Tubulin-binding,Family,4,31,31,45.3,6.9e-12,1,No_Clan
BambuTx143,336,365,336,366,PF00418.24,Tubulin-binding,Family,1,30,31,58.2,6.5e-16,1,No_Clan
BambuTx143,367,398,367,398,PF00418.24,Tubulin-binding,Family,1,31,31,57.9,8.1e-16,1,No_Clan
BambuTx159,3,224,2,224,PF15245.11,VGLL4,Family,2,217,217,303.7,1.1e-90,1,No_Clan
BambuTx16,159,247,159,248,PF00028.22,Cadherin,Domain,1,92,93,33.6,4.9e-08,1,CL0159
BambuTx16,356,515,355,525,PF13385.12,Laminin_G_3,Domain,2,140,151,31.9,1.5e-07,1,CL0004
BambuTx16,537,890,537,890,PF19699.4,CLSTN_C,Family,1,354,354,709.0,1.1e-213,1,No_Clan
BambuTx162,207,394,207,395,PF00149.33,Metallophos,Domain,1,190,191,57.3,3.3e-15,1,CL0163
BambuTx210,148,329,147,329,PF00596.26,Aldolase_II,Domain,2,183,183,157.1,5.3e-46,1,No_Clan
BambuTx214,157,248,148,252,PF00640.28,PID,Domain,49,136,140,33.8,3.5e-08,1,CL0266
BambuTx214,561,616,561,616,PF11830.13,DUF3350,Family,1,63,63,80.6,8.3e-23,1,No_Clan
BambuTx214,675,884,674,885,PF00566.24,RabGAP-TBC,Family,2,215,216,191.5,1.8e-56,1,CL0816
BambuTx215,42,162,42,164,PF00640.28,PID,Domain,1,138,140,46.2,5.5e-12,1,CL0266
BambuTx224,70,158,70,158,PF04410.19,Gar1,Domain,1,92,92,102.7,8.5e-30,1,CL0105
BambuTx228,36,198,31,209,PF01112.23,Asparaginase_2,Domain,26,172,309,153.7,7.2e-45,1,CL0052
BambuTx23,121,191,120,193,PF00538.24,Linker_histone,Domain,2,72,74,69.6,2.5e-19,1,CL0123
BambuTx23,228,290,218,291,PF00538.24,Linker_histone,Domain,11,73,74,41.6,1.3e-10,1,CL0123
BambuTx23,306,373,302,374,PF00538.24,Linker_histone,Domain,6,73,74,66.8,1.7e-18,1,CL0123
BambuTx234,408,479,408,479,PF06743.20,FAST_1,Family,1,72,72,66.5,1.7e-18,1,No_Clan
BambuTx234,490,580,490,580,PF08368.17,FAST_2,Family,1,89,89,93.7,9e-27,1,No_Clan
BambuTx234,594,650,593,650,PF08373.15,RAP,Domain,2,58,58,66.5,1.9e-18,1,CL0236
BambuTx237,41,185,38,188,PF01569.26,PAP2,Family,4,127,130,94.7,4.3e-27,1,CL0525
BambuTx266,3,295,1,295,PF00069.30,Pkinase,Domain,24,263,263,160.3,6.7e-47,1,CL0016
BambuTx268,2,60,1,60,PF17654.6,Trnau1ap,Family,52,110,110,107.5,7.5e-31,1,No_Clan
BambuTx273,11,101,2,102,PF00125.29,Histone,Domain,27,121,122,90.7,9.3e-26,1,CL0012
BambuTx275,38,125,37,126,PF02023.22,SCAN,Domain,2,89,90,145.2,4.7e-43,1,CL0148
BambuTx276,47,182,46,182,PF00754.30,F5_F8_type_C,Domain,2,127,127,74.2,1.2e-20,1,CL0202
BambuTx276,190,366,190,366,PF21114.2,DDR1-2_DS-like,Domain,1,177,177,226.5,2.2e-67,1,CL0202
BambuTx276,610,905,610,905,PF07714.22,PK_Tyr_Ser-Thr,Domain,1,258,258,284.4,8.7e-85,1,CL0016
BambuTx277,47,182,46,182,PF00754.30,F5_F8_type_C,Domain,2,127,127,74.3,1.1e-20,1,CL0202
BambuTx277,190,366,190,366,PF21114.2,DDR1-2_DS-like,Domain,1,177,177,226.6,2.1e-67,1,CL0202
BambuTx277,573,868,573,868,PF07714.22,PK_Tyr_Ser-Thr,Domain,1,258,258,284.5,8e-85,1,CL0016
BambuTx285,107,211,90,213,PF13967.11,RSN1_TM,Family,47,154,156,67.7,1e-18,1,No_Clan
BambuTx285,227,409,226,409,PF14703.11,PHM7_cyt,Domain,2,174,174,141.2,4.5e-41,1,CL0221
BambuTx285,420,692,420,693,PF02714.20,RSN1_7TM,Family,1,273,274,195.0,1.9e-57,1,CL0416
BambuTx286,107,211,90,213,PF13967.11,RSN1_TM,Family,47,154,156,67.7,1e-18,1,No_Clan
BambuTx286,227,409,226,409,PF14703.11,PHM7_cyt,Domain,2,174,174,141.2,4.5e-41,1,CL0221
BambuTx286,420,692,420,693,PF02714.20,RSN1_7TM,Family,1,273,274,195.0,1.9e-57,1,CL0416
BambuTx291,10,94,10,96,PF16005.10,MOEP19,Domain,1,84,86,98.7,1.7e-28,1,CL0007
BambuTx299,47,108,39,122,PF16543.10,DFRP_C,Domain,19,76,88,31.6,2.2e-07,1,No_Clan
BambuTx31,67,90,64,92,PF00036.37,EF-hand_1,Domain,4,27,29,26.3,3.9e-06,1,CL0220
BambuTx31,98,172,98,174,PF13499.11,EF-hand_7,Domain,1,65,67,63.5,2e-17,1,CL0220
BambuTx317,32,226,32,227,PF00804.30,Syntaxin,Domain,1,198,199,195.8,7.5e-58,1,CL0445
BambuTx318,32,226,32,227,PF00804.30,Syntaxin,Domain,1,198,199,194.0,2.6e-57,1,CL0445
BambuTx327,104,151,104,154,PF15503.11,PPP1R35_C,Family,1,48,140,32.4,1e-07,1,No_Clan
BambuTx340,87,267,86,267,PF07281.17,INSIG,Family,2,211,211,173.1,7e-51,1,CL0798
BambuTx341,97,330,97,331,PF00102.32,Y_phosphatase,Domain,1,233,234,270.1,1.9e-80,1,CL0031
BambuTx343,130,254,130,258,PF09815.14,XK-related,Family,1,86,337,85.5,4e-24,1,No_Clan
BambuTx348,58,300,57,318,PF04845.18,PurA,Family,2,199,219,293.6,8.9e-88,1,CL0609
BambuTx352,3,108,1,108,PF14792.11,DNA_pol_B_palm,Domain,9,113,113,120.7,4.1e-35,1,CL0260
BambuTx352,115,179,114,180,PF14791.11,DNA_pol_B_thumb,Family,2,62,63,72.4,2.5e-20,1,No_Clan
BambuTx40,101,273,98,277,PF04893.22,Yip1,Domain,3,171,173,67.0,2.1e-18,1,CL0112
BambuTx406,99,148,99,154,PF01765.24,RRF,Domain,1,50,164,29.7,5.9e-07,1,No_Clan
BambuTx414,2,165,2,165,PF15120.11,SPACA9,Family,1,164,164,306.3,4.8e-92,1,No_Clan
BambuTx415,60,158,60,160,PF00618.25,RasGEF_N,Domain,1,104,106,78.8,3.6e-22,1,CL0542
BambuTx415,323,529,322,529,PF00617.24,RasGEF,Family,2,181,181,189.0,8.2e-56,1,No_Clan
BambuTx415,731,817,731,818,PF00788.28,RA,Domain,1,92,93,57.2,2.3e-15,1,CL0072
BambuTx428,69,175,67,180,PF00586.29,AIRS,Domain,3,107,112,56.0,5.5e-15,1,CL0804
BambuTx428,193,366,192,368,PF02769.27,AIRS_C,Domain,2,154,156,74.5,1.2e-20,1,No_Clan
BambuTx440,11,75,10,76,PF00536.36,SAM_1,Domain,2,63,64,36.0,8e-09,1,CL0003
BambuTx440,292,365,292,365,PF14360.11,PAP2_C,Domain,1,74,74,99.4,1.6e-28,1,CL0525
BambuTx449,71,280,70,292,PF02628.20,COX15-CtaA,Family,2,203,322,238.4,1.2e-70,1,CL0328
BambuTx466,213,353,195,354,PF00704.33,Glyco_hydro_18,Domain,164,316,317,48.9,8.4e-13,1,CL0036
BambuTx476,25,97,24,97,PF00173.33,Cyt-b5,Domain,2,74,74,72.2,3.1e-20,1,No_Clan
BambuTx476,158,342,158,374,PF00487.29,FA_desaturase,Domain,1,187,253,49.2,7.1e-13,1,CL0713
BambuTx495,19,64,19,65,PF22566.1,UBA_8,Domain,1,45,46,56.8,1.6e-15,1,CL0214
BambuTx495,74,126,74,126,PF21909.1,USP_UIM_N,Domain,1,53,53,99.9,7.7e-29,1,CL0702
BambuTx495,162,647,162,647,PF00443.34,UCH,Family,1,254,254,168.6,2.2e-49,1,CL0125
BambuTx514,74,243,73,255,PF01490.23,Aa_trans,Domain,2,169,410,118.1,4.4e-34,1,CL0062
BambuTx514,325,534,304,535,PF01490.23,Aa_trans,Domain,188,409,410,139.2,1.7e-40,1,CL0062
BambuTx518,338,406,337,406,PF00105.23,zf-C4,Domain,2,70,70,106.4,9.2e-31,1,CL0167
BambuTx518,474,650,467,651,PF00104.35,Hormone_recep,Domain,12,212,213,103.4,1.4e-29,1,No_Clan
BambuTx522,4,137,4,137,PF16496.10,SWIRM-assoc_2,Family,1,134,134,243.7,4.1e-73,1,No_Clan
BambuTx522,434,512,427,512,PF04433.22,SWIRM,Domain,3,84,84,101.7,2.3e-29,1,CL0123
BambuTx522,600,641,598,643,PF00249.36,Myb_DNA-binding,Domain,3,44,46,47.1,2.2e-12,1,CL0123
BambuTx522,684,749,684,750,PF16498.10,SWIRM-assoc_3,Family,1,66,67,107.2,4.3e-31,1,No_Clan
BambuTx522,864,945,863,946,PF16495.10,SWIRM-assoc_1,Family,2,83,84,102.8,9e-30,1,No_Clan
BambuTx527,60,214,60,236,PF01066.26,CDP-OH_P_transf,Family,1,145,152,48.7,1.2e-12,1,No_Clan
BambuTx533,1,245,1,245,PF01209.23,Ubie_methyltran,Family,23,233,233,277.9,6.7e-83,1,CL0063
BambuTx54,118,269,117,269,PF14324.11,PINIT,Domain,2,142,142,107.8,6.9e-31,1,CL0202
BambuTx54,314,362,314,363,PF02891.25,zf-MIZ,Domain,1,49,50,69.2,2.3e-19,1,CL0229
BambuTx546,79,145,78,146,PF05198.21,IF3_N,Domain,2,69,70,48.7,7.7e-13,1,No_Clan
BambuTx551,10,93,6,96,PF00153.32,Mito_carr,Repeat,6,93,96,63.3,1.6e-17,1,No_Clan
BambuTx551,106,199,102,202,PF00153.32,Mito_carr,Repeat,5,93,96,73.5,1e-20,1,No_Clan
BambuTx551,208,296,205,298,PF00153.32,Mito_carr,Repeat,4,94,96,78.1,3.8e-22,1,No_Clan
BambuTx563,17,40,15,40,PF00642.29,zf-CCCH,Family,4,27,27,22.0,0.00014,1,CL0537
BambuTx563,48,86,48,86,PF22628.1,zf-CCCH_10,Domain,1,39,39,74.6,3.7e-21,1,CL0537
BambuTx563,178,202,177,203,PF00642.29,zf-CCCH,Family,2,26,27,21.2,0.00025,1,CL0537
BambuTx563,213,251,213,251,PF22628.1,zf-CCCH_10,Domain,1,39,39,78.0,3.1e-22,1,CL0537
BambuTx585,12,48,2,48,PF00076.27,RRM_1,Domain,34,70,70,24.7,1.9e-05,1,CL0221
BambuTx59,28,278,28,278,PF00194.26,Carb_anhydrase,Domain,1,254,254,297.0,1.5e-88,1,No_Clan
BambuTx597,372,517,372,518,PF00640.28,PID,Domain,1,139,140,148.4,1.6e-43,1,CL0266
BambuTx597,557,639,556,640,PF00595.29,PDZ,Domain,2,80,81,51.8,9.8e-14,1,CL0466
BambuTx597,650,719,647,720,PF00595.29,PDZ,Domain,4,80,81,54.7,1.2e-14,1,CL0466
BambuTx607,52,109,51,111,PF13855.11,LRR_8,Repeat,2,59,61,49.2,3.9e-13,1,CL0022
BambuTx607,124,182,123,183,PF13855.11,LRR_8,Repeat,2,60,61,42.1,6.7e-11,1,CL0022
BambuTx620,81,214,78,217,PF00179.31,UQ_con,Domain,4,137,140,77.1,1.2e-21,1,CL0208
BambuTx623,7,47,7,48,PF01352.32,KRAB,Family,1,41,42,81.5,2.9e-23,1,No_Clan
BambuTx623,184,206,184,206,PF00096.31,zf-C2H2,Domain,1,23,23,24.0,4.5e-05,1,CL0361
BambuTx623,212,234,212,234,PF00096.31,zf-C2H2,Domain,1,23,23,28.5,1.6e-06,1,CL0361
BambuTx623,240,262,240,262,PF00096.31,zf-C2H2,Domain,1,23,23,31.6,1.6e-07,1,CL0361
BambuTx623,268,290,268,290,PF00096.31,zf-C2H2,Domain,1,23,23,28.6,1.5e-06,1,CL0361
BambuTx623,296,318,296,318,PF00096.31,zf-C2H2,Domain,1,23,23,23.1,8.3e-05,1,CL0361
BambuTx623,324,346,324,346,PF00096.31,zf-C2H2,Domain,1,23,23,32.6,7.8e-08,1,CL0361
BambuTx623,352,374,352,374,PF00096.31,zf-C2H2,Domain,1,23,23,30.1,5e-07,1,CL0361
BambuTx623,380,402,380,402,PF00096.31,zf-C2H2,Domain,1,23,23,28.0,2.3e-06,1,CL0361
BambuTx626,1,51,1,66,PF08583.15,Cmc1,Family,1,50,70,60.4,1.5e-16,1,CL0351
BambuTx628,1,70,1,71,PF08583.15,Cmc1,Family,1,69,70,74.0,9e-21,1,CL0351
BambuTx643,18,110,5,111,PF01145.30,Band_7,Family,83,175,176,56.2,5.3e-15,1,CL0433
BambuTx643,236,310,234,345,PF15975.10,Flot,Family,1,77,124,30.0,5.3e-07,1,No_Clan
BambuTx651,79,102,78,102,PF12874.12,zf-met,Domain,2,25,25,28.9,1.2e-06,1,CL0361
