gene_id	iso_ref	gene_ref	isoform_id	condition_1	condition_2	gene_biotype	iso_biotype	gene_overall_mean	gene_value_1	gene_value_2	gene_stderr_1	gene_stderr_2	gene_log2_fold_change	gene_q_value	iso_overall_mean	iso_value_1	iso_value_2	iso_stderr_1	iso_stderr_2	iso_log2_fold_change	iso_q_value	IF_overall	IF1	IF2	dIF	isoform_switch_q_value	gene_switch_q_value	PTC	ensembl_gene_name.x	ensembl_gene_name.y	ensembl_gene_name	gene_name
ENSG00000004534	isoComp_00176032	geneComp_00058839	transcript56273.chr3.nic	RO_D200	RO_D45	NA	NA	131.75439308584978	157.84641058835268	67.38860072483249	34.15837751735404	19.28685477375268	-1.2278223052827824	NA	6.73436948513328	3.1979296534975865	12.454494257037965	0.20168172176700092	1.1039974575366145	1.9581099366393093	NA	0.07705714285714285	0.021566666666666668	0.19619999999999999	0.1746333333333333	0.006254095411011298	0.006254095411011298	NA	RBM6	RBM6	RBM6	RBM6
ENSG00000004534	isoComp_00176032	geneComp_00058839	transcript56273.chr3.nic	RO_D200	RO_D45	NA	NA	131.75439308584978	157.84641058835268	67.38860072483249	34.15837751735404	19.28685477375268	-1.2278223052827824	NA	6.73436948513328	3.1979296534975865	12.454494257037965	0.20168172176700092	1.1039974575366145	1.9581099366393093	NA	0.07705714285714285	0.021566666666666668	0.19619999999999999	0.1746333333333333	0.006254095411011298	0.006254095411011298	NA	RBM6	RBM6	RBM6	RBM6
ENSG00000004534	isoComp_00176032	geneComp_00058839	transcript56273.chr3.nic	RO_D200	RO_D45	NA	NA	131.75439308584978	157.84641058835268	67.38860072483249	34.15837751735404	19.28685477375268	-1.2278223052827824	NA	6.73436948513328	3.1979296534975865	12.454494257037965	0.20168172176700092	1.1039974575366145	1.9581099366393093	NA	0.07705714285714285	0.021566666666666668	0.19619999999999999	0.1746333333333333	0.006254095411011298	0.006254095411011298	NA	RBM6	RBM6	RBM6	RBM6
ENSG00000005194	isoComp_00176135	geneComp_00058867	ENST00000565961.5	RO_D200	RO_D45	NA	NA	20.409738963528685	17.219680287143085	27.50867844111417	0.1839324361975896	2.290148630789117	0.6755152563654385	NA	2.493438491737683	3.964987294382069	0.8062011694801493	0.2006685880852484	0.20757399493304737	-2.2839535661338393	NA	0.13684285714285715	0.23006666666666667	0.03015	-0.19991666666666666	0.01716535964261857	0.01716535964261857	FALSE	CIAPIN1	CIAPIN1	CIAPIN1	CIAPIN1
ENSG00000005194	isoComp_00176135	geneComp_00058867	ENST00000565961.5	RO_D200	RO_D45	NA	NA	20.409738963528685	17.219680287143085	27.50867844111417	0.1839324361975896	2.290148630789117	0.6755152563654385	NA	2.493438491737683	3.964987294382069	0.8062011694801493	0.2006685880852484	0.20757399493304737	-2.2839535661338393	NA	0.13684285714285715	0.23006666666666667	0.03015	-0.19991666666666666	0.01716535964261857	0.01716535964261857	FALSE	CIAPIN1	CIAPIN1	CIAPIN1	CIAPIN1
ENSG00000005194	isoComp_00176135	geneComp_00058867	ENST00000565961.5	RO_D200	RO_D45	NA	NA	20.409738963528685	17.219680287143085	27.50867844111417	0.1839324361975896	2.290148630789117	0.6755152563654385	NA	2.493438491737683	3.964987294382069	0.8062011694801493	0.2006685880852484	0.20757399493304737	-2.2839535661338393	NA	0.13684285714285715	0.23006666666666667	0.03015	-0.19991666666666666	0.01716535964261857	0.01716535964261857	FALSE	CIAPIN1	CIAPIN1	CIAPIN1	CIAPIN1
ENSG00000005339	isoComp_00176180	geneComp_00058873	transcript12816.chr16.nic	RO_D200	RO_D45	NA	NA	57.35520680336741	66.94909892705769	51.04190336244803	1.9921215459993689	5.032550398753223	-0.39131536363313457	NA	14.906453158986627	13.01509472711181	21.324447121046557	1.2864985689839619	0.5496112613910178	0.7118908590254452	NA	0.26885714285714285	0.1936	0.4208	0.2272	0.04513964651450012	0.04513964651450012	NA	CREBBP	CREBBP	CREBBP	CREBBP
ENSG00000005339	isoComp_00176180	geneComp_00058873	transcript12816.chr16.nic	RO_D200	RO_D45	NA	NA	57.35520680336741	66.94909892705769	51.04190336244803	1.9921215459993689	5.032550398753223	-0.39131536363313457	NA	14.906453158986627	13.01509472711181	21.324447121046557	1.2864985689839619	0.5496112613910178	0.7118908590254452	NA	0.26885714285714285	0.1936	0.4208	0.2272	0.04513964651450012	0.04513964651450012	NA	CREBBP	CREBBP	CREBBP	CREBBP
ENSG00000005339	isoComp_00176180	geneComp_00058873	transcript12816.chr16.nic	RO_D200	RO_D45	NA	NA	57.35520680336741	66.94909892705769	51.04190336244803	1.9921215459993689	5.032550398753223	-0.39131536363313457	NA	14.906453158986627	13.01509472711181	21.324447121046557	1.2864985689839619	0.5496112613910178	0.7118908590254452	NA	0.26885714285714285	0.1936	0.4208	0.2272	0.04513964651450012	0.04513964651450012	NA	CREBBP	CREBBP	CREBBP	CREBBP
ENSG00000006007	isoComp_00176280	geneComp_00058891	ENST00000564172.1	RO_D200	RO_D45	NA	NA	35.71789785125766	31.16855828105423	48.8798203277658	2.586058051300712	5.283387358279864	0.6489798850658831	NA	13.950183289116296	7.481206104704037	28.278709909770278	0.2674143271409992	1.0519189515276057	1.9169564646116528	NA	0.35847142857142855	0.24196666666666666	0.583	0.3410333333333333	0.01148197411773692	0.01148197411773692	TRUE	GDE1	GDE1	GDE1	GDE1
