gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	condition_1	condition_2
ENSG00000143171	ENSG00000143171.13	5.574269250550969	6.206051761872424	380.27922144012854	6.102962210989793e-9	1.143817177583707e-4	RXRG	protein_coding	B_RO_D100	C_RO_D45
ENSG00000017483	ENSG00000017483.16	5.055380978815354	5.7411718125818725	310.7186979927425	1.5460227483292992e-8	1.4487779174593863e-4	SLC38A5	protein_coding	B_RO_D100	C_RO_D45
ENSG00000139053	ENSG00000139053.3	7.674582335096998	8.949950565744736	351.5262374824714	2.7495777711811005e-8	1.5644935802087645e-4	PDE6H	protein_coding	B_RO_D100	C_RO_D45
ENSG00000140939	ENSG00000140939.15	3.4515782824151446	5.903828633187554	258.7557198495904	3.572881078668533e-8	1.5644935802087645e-4	NOL3	protein_coding	B_RO_D100	C_RO_D45
ENSG00000162496	ENSG00000162496.9	4.647005808305752	6.940749308833331	270.6875964111971	4.173763686396234e-8	1.5644935802087645e-4	DHRS3	protein_coding	B_RO_D100	C_RO_D45
ENSG00000112041	ENSG00000112041.13	4.816598291593985	6.12708981695286	236.98726452022632	7.169314487975404e-8	1.605932147043962e-4	TULP1	protein_coding	B_RO_D100	C_RO_D45
ENSG00000138207	ENSG00000138207.15	4.125802833490732	4.585355786588927	238.1912737785022	5.2115121032427144e-8	1.605932147043962e-4	RBP4	protein_coding	B_RO_D100	C_RO_D45
ENSG00000169085	ENSG00000169085.14	3.4880332408099926	6.472612419483959	215.7180265239917	8.175998995452987e-8	1.605932147043962e-4	VXN	protein_coding	B_RO_D100	C_RO_D45
ENSG00000189221	ENSG00000189221.11	2.9862589671508455	5.196005045107717	216.56668398092614	8.031667590475093e-8	1.605932147043962e-4	MAOA	protein_coding	B_RO_D100	C_RO_D45
ENSG00000276368	ENSG00000276368.2	-5.129591713262834	4.973818626347802	241.02025836754237	8.568627398591195e-8	1.605932147043962e-4	H2AC14	protein_coding	B_RO_D100	C_RO_D45
ENSG00000139292	ENSG00000139292.13	-3.4445287946678596	4.884579683667548	207.30859977437464	9.790625121052968e-8	1.6681445092615885e-4	LGR5	protein_coding	B_RO_D100	C_RO_D45
ENSG00000113368	ENSG00000113368.12	-2.12873096142771	5.92092915957173	191.78179492957906	1.3921558210404446e-7	2.174315366495001e-4	LMNB1	protein_coding	B_RO_D100	C_RO_D45
ENSG00000123307	ENSG00000123307.4	2.5660234932588035	6.29827114184067	174.01817489909558	2.1569706816460324e-7	2.695062967693996e-4	NEUROD4	protein_coding	B_RO_D100	C_RO_D45
ENSG00000168298	ENSG00000168298.7	-1.8432181328491122	8.7034444404893	174.62002656063012	2.1237531225004954e-7	2.695062967693996e-4	H1-4	protein_coding	B_RO_D100	C_RO_D45
ENSG00000197061	ENSG00000197061.5	-2.7740259203792883	9.34491080860428	175.96017027284253	2.0519880049110083e-7	2.695062967693996e-4	H4C3	protein_coding	B_RO_D100	C_RO_D45
ENSG00000154678	ENSG00000154678.18	3.218852077633287	5.477200014106292	169.63792622641878	2.4186838118948554e-7	2.8331857501583363e-4	PDE1C	protein_coding	B_RO_D100	C_RO_D45
