gene_id	isoform_id	DTU_dIF	DTU_qval	gene_name	disease_category
ENSG00000011143	ENST00000393119	-0.19293333333333323	0.03343854589401423	MKS1	c(""Bardet-Biedl syndrome, autosomal recessive"", ""Syndromic/systemic diseases with retinopathy, autosomal recessive"")
ENSG00000033867	ENST00000428386	0.13983333333333334	0.00368409965589804	SLC4A7	Cone or cone-rod dystrophy, autosomal recessive
ENSG00000040487	ENST00000375155	0.28198333333333325	0.04899958252372653	SLC66A1	Retinitis pigmentosa, autosomal recessive
ENSG00000040487	ENST00000375153	-0.37283333333333335	0.01594404180894103	SLC66A1	Retinitis pigmentosa, autosomal recessive
ENSG00000044115	ENST00000522792	-0.2028666666666667	0.00965148778903037	CTNNA1	Macular degeneration, autosomal dominant
ENSG00000048545	ENST00000679182	-0.31099999999999994	2.445582291845086e-6	GUCA1A	Cone or cone-rod dystrophy, autosomal dominant
ENSG00000048545	ENST00000372958	0.31099999999999994	2.4827965352306517e-6	GUCA1A	Cone or cone-rod dystrophy, autosomal dominant
ENSG00000074621	ENST00000261892	0.34576666666666667	6.105585140286405e-5	SLC24A1	Congenital stationary night blindness, autosomal recessive
ENSG00000074621	ENST00000339868	-0.22383333333333333	1.6037668576396647e-4	SLC24A1	Congenital stationary night blindness, autosomal recessive
ENSG00000075891	ENST00000427256	0.12769999999999998	0.01482803733773153	PAX2	Syndromic/systemic diseases with retinopathy, autosomal dominant
ENSG00000092200	ENST00000556336	0.12315	2.1116886674299106e-7	RPGRIP1	c(""Cone or cone-rod dystrophy, autosomal recessive"", ""Leber congenital amaurosis, autosomal recessive"", ""Syndromic/systemic diseases with retinopathy, autosomal recessive"")
ENSG00000102935	ENST00000562520	0.31545	1.0830941679922723e-23	ZNF423	Syndromic/systemic diseases with retinopathy, autosomal recessive
ENSG00000103351	ENST00000341633	0.10481666666666668	0.04104355509661829	CLUAP1	Leber congenital amaurosis, autosomal recessive
ENSG00000103494	ENST00000564374	0.2509166666666667	0.03128218211946262	RPGRIP1L	Syndromic/systemic diseases with retinopathy, autosomal recessive
ENSG00000108370	ENST00000638125	-0.37728333333333336	9.174669224629704e-6	RGS9	Other retinopathy, autosomal recessive
ENSG00000109103	ENST00000470125	-0.15149999999999997	8.107986978420849e-7	UNC119	Cone or cone-rod dystrophy, autosomal dominant
ENSG00000110871	BambuTx218	0.27003333333333335	0.00840973385336595	COQ5	Retinitis pigmentosa, autosomal recessive
ENSG00000110871	ENST00000288532	-0.2651333333333332	0.00839243568971273	COQ5	Retinitis pigmentosa, autosomal recessive
