gene_id	isoform_id	DTU_dIF	DTU_qval	gene_name	disease_category
ENSG00000007062	ENST00000539194	-0.10645000000000002	3.343329736394809e-5	PROM1	c(""Cone or cone-rod dystrophy, autosomal dominant"", ""Macular degeneration, autosomal dominant"", ""Retinitis pigmentosa, autosomal recessive"", ""Other retinopathy, autosomal recessive"")
ENSG00000007062	ENST00000505450	0.20825000000000005	0.03247791838095731	PROM1	c(""Cone or cone-rod dystrophy, autosomal dominant"", ""Macular degeneration, autosomal dominant"", ""Retinitis pigmentosa, autosomal recessive"", ""Other retinopathy, autosomal recessive"")
ENSG00000007062	ENST00000508167	0.38585	2.8788152385058815e-5	PROM1	c(""Cone or cone-rod dystrophy, autosomal dominant"", ""Macular degeneration, autosomal dominant"", ""Retinitis pigmentosa, autosomal recessive"", ""Other retinopathy, autosomal recessive"")
ENSG00000007062	ENST00000447510	-0.1582	3.8930666485080386e-12	PROM1	c(""Cone or cone-rod dystrophy, autosomal dominant"", ""Macular degeneration, autosomal dominant"", ""Retinitis pigmentosa, autosomal recessive"", ""Other retinopathy, autosomal recessive"")
ENSG00000007062	ENST00000540805	-0.15674999999999997	1.8837171509004283e-8	PROM1	c(""Cone or cone-rod dystrophy, autosomal dominant"", ""Macular degeneration, autosomal dominant"", ""Retinitis pigmentosa, autosomal recessive"", ""Other retinopathy, autosomal recessive"")
ENSG00000011143	ENST00000393119	0.2349499999999999	0.00449743754372858	MKS1	c(""Bardet-Biedl syndrome, autosomal recessive"", ""Syndromic/systemic diseases with retinopathy, autosomal recessive"")
ENSG00000042317	ENST00000356583	-0.2086	0.00785649411027068	SPATA7	c(""Leber congenital amaurosis, autosomal recessive"", ""Retinitis pigmentosa, autosomal recessive"")
ENSG00000042317	ENST00000553885	0.28945	1.324808706935813e-21	SPATA7	c(""Leber congenital amaurosis, autosomal recessive"", ""Retinitis pigmentosa, autosomal recessive"")
ENSG00000042781	ENST00000307340	-0.40670000000000006	6.39165416918349e-9	USH2A	c(""Retinitis pigmentosa, autosomal recessive"", ""Usher syndrome, autosomal recessive"")
ENSG00000044115	ENST00000627109	-0.19525	5.107073449528314e-5	CTNNA1	Macular degeneration, autosomal dominant
ENSG00000048545	ENST00000679182	0.40835	1.4232639295193154e-4	GUCA1A	Cone or cone-rod dystrophy, autosomal dominant
ENSG00000048545	ENST00000372958	-0.40835	1.450870164600983e-4	GUCA1A	Cone or cone-rod dystrophy, autosomal dominant
ENSG00000072756	ENST00000698414	-0.1368	0.0378757650500507	TRNT1	c(""Retinitis pigmentosa, autosomal recessive"", ""Syndromic/systemic diseases with retinopathy, autosomal recessive"")
ENSG00000084693	ENST00000487078	-0.17659999999999998	0.01759376551307236	AGBL5	Retinitis pigmentosa, autosomal recessive
ENSG00000102935	ENST00000562520	-0.31425000000000003	4.583394309468029e-31	ZNF423	Syndromic/systemic diseases with retinopathy, autosomal recessive
ENSG00000102935	ENST00000563137	0.32535000000000003	3.1658886419061648e-24	ZNF423	Syndromic/systemic diseases with retinopathy, autosomal recessive
ENSG00000103351	ENST00000341633	-0.1617	0.00592213609649688	CLUAP1	Leber congenital amaurosis, autosomal recessive
ENSG00000103351	ENST00000576634	0.15285000000000004	0.00658336210119925	CLUAP1	Leber congenital amaurosis, autosomal recessive
ENSG00000103494	ENST00000262135	0.16294999999999998	0.03158423508606337	RPGRIP1L	Syndromic/systemic diseases with retinopathy, autosomal recessive
ENSG00000104237	ENST00000220676	-0.88535	3.940353462367785e-9	RP1	c(""Macular degeneration, autosomal dominant"", ""Retinitis pigmentosa, autosomal dominant"", ""Retinitis pigmentosa, autosomal recessive"")
ENSG00000104237	ENST00000636932	0.7711	1.6117805107602743e-5	RP1	c(""Macular degeneration, autosomal dominant"", ""Retinitis pigmentosa, autosomal dominant"", ""Retinitis pigmentosa, autosomal recessive"")
ENSG00000105392	ENST00000613299	-0.20145	5.305111319202444e-4	CRX	c(""Cone or cone-rod dystrophy, autosomal dominant"", ""Leber congenital amaurosis, autosomal dominant"", ""Leber congenital amaurosis, autosomal recessive"", ""Retinitis pigmentosa, autosomal dominant"")
ENSG00000105392	ENST00000221996	0.18955	0.02437285776652432	CRX	c(""Cone or cone-rod dystrophy, autosomal dominant"", ""Leber congenital amaurosis, autosomal dominant"", ""Leber congenital amaurosis, autosomal recessive"", ""Retinitis pigmentosa, autosomal dominant"")
ENSG00000107736	ENST00000398788	-0.21235	0.01654825961684628	CDH23	c(""Deafness alone or syndromic, autosomal recessive"", ""Usher syndrome, autosomal recessive"")
ENSG00000107736	ENST00000299366	0.15775	7.155456337363168e-7	CDH23	c(""Deafness alone or syndromic, autosomal recessive"", ""Usher syndrome, autosomal recessive"")
ENSG00000108370	ENST00000638125	0.44385	1.6946937572739935e-6	RGS9	Other retinopathy, autosomal recessive
ENSG00000110871	ENST00000288532	0.3227	0.00243405519298191	COQ5	Retinitis pigmentosa, autosomal recessive
ENSG00000110871	BambuTx218	-0.31375	0.00245569185426968	COQ5	Retinitis pigmentosa, autosomal recessive
ENSG00000110921	ENST00000540353	-0.11955	0.01061529742845716	MVK	c(""Retinitis pigmentosa, autosomal recessive"", ""Other retinopathy, autosomal recessive"")
ENSG00000113966	ENST00000463745	0.21649999999999991	1.746702461219671e-4	ARL6	c(""Bardet-Biedl syndrome, autosomal recessive"", ""Retinitis pigmentosa, autosomal recessive"")
