seqnames	start	end	width	strand	isoform_id	gene_id	gene_name
chr2	203382189	203382206	18	+	ENST00000261018	ABI2	ABI2
chr2	203382189	203382206	18	+	ENST00000295851	ABI2	ABI2
chr3	33574473	33574496	24	-	ENST00000635664	CLASP2	CLASP2
chr3	33588705	33588731	27	-	ENST00000635664	CLASP2	CLASP2
chr3	33592213	33592239	27	-	ENST00000635664	CLASP2	CLASP2
chr3	33594951	33594968	18	-	ENST00000635664	CLASP2	CLASP2
chr3	33594951	33594968	18	-	ENST00000650653	CLASP2	CLASP2
chr3	33596711	33596734	24	-	ENST00000635664	CLASP2	CLASP2
chr3	33596711	33596734	24	-	ENST00000650653	CLASP2	CLASP2
chr8	143592647	143592660	14	-	ENST00000618139	EEF1D	EEF1D
chr10	60082150	60082176	27	-	ENST00000280772	ANK3	ANK3
chr10	60082150	60082176	27	-	ENST00000467420	ANK3	ANK3
chr10	60137342	60137353	12	-	ENST00000467420	ANK3	ANK3
chr10	60137342	60137353	12	-	ENST00000622427	ANK3	ANK3
chr10	60263126	60263149	24	-	ENST00000467420	ANK3	ANK3
chr11	31801762	31801776	15	-	ENST00000639943	PAX6	PAX6
chr20	35554372	35554386	15	+	ENST00000357394	ERGIC3	ERGIC3
chrX	15828192	15828200	9	-	ENST00000671830	AP1S2	AP1S2
chrX	15828192	15828200	9	-	ENST00000672987	AP1S2	AP1S2
