gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	Rank
geneComp_00013025	ENSG00000196262	PPIA	RO_D100	RO_D200	1.3117435166929278e-7	1
geneComp_00007181	ENSG00000144485	HES6	RO_D100	RO_D200	6.685833783295153e-4	2
geneComp_00011122	ENSG00000174748	RPL15	RO_D100	RO_D200	0.001298052642478202	3
geneComp_00003357	ENSG00000111642	CHD4	RO_D100	RO_D200	0.001684766591031291	4
geneComp_00003929	ENSG00000116560	SFPQ	RO_D100	RO_D200	0.0029202543767901518	5
geneComp_00001143	ENSG00000075415	SLC25A3	RO_D100	RO_D200	0.005221507847407528	6
geneComp_00012877	ENSG00000188690	UROS	RO_D100	RO_D200	0.006107531427098722	7
geneComp_00017991	ENSG00000267280	TBX2-AS1	RO_D100	RO_D200	0.01229283787637385	8
geneComp_00000315	ENSG00000015592	STMN4	RO_D100	RO_D200	0.01636695797876252	9
geneComp_00006681	ENSG00000140391	TSPAN3	RO_D100	RO_D200	0.01636695797876252	10
geneComp_00003377	ENSG00000111716	LDHB	RO_D100	RO_D200	0.02639075943708932	11
geneComp_00015384	ENSG00000234171	RNASEH1-DT	RO_D100	RO_D200	0.033574035160369935	12
geneComp_00004322	ENSG00000120451	SNX19	RO_D100	RO_D200	0.038557381949070754	13
geneComp_00000809	ENSG00000065308	TRAM2	RO_D100	RO_D200	0.03878724986637328	14
geneComp_00000876	ENSG00000067064	IDI1	RO_D100	RO_D200	0.042336339885992176	15
geneComp_00001690	ENSG00000091513	TF	RO_D100	RO_D200	0.046231950438488593	16
geneComp_00003454	ENSG00000112249	ASCC3	RO_D100	RO_D200	0.04862497003793581	17
geneComp_00002196	ENSG00000101493	ZNF516	RO_D100	RO_D200	0.04976579532137935	18
