gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	Rank
geneComp_00030173	ENSG00000139970	RTN1	FT	RGC	4.652345091997349e-13	1
geneComp_00025981	ENSG00000070087	PFN2	FT	RGC	3.097695887892465e-9	2
geneComp_00005426	ENSG00000104529	EEF1D	FT	RGC	8.089331951527294e-9	3
geneComp_00019086	ENSG00000167244	IGF2	FT	RGC	4.708385699021842e-6	4
geneComp_00016334	ENSG00000105379	ETFB	FT	RGC	3.1612361690874965e-5	5
geneComp_00025605	ENSG00000007372	PAX6	FT	RGC	3.1612361690874965e-5	6
geneComp_00030616	ENSG00000125354	SEPTIN6	FT	RGC	3.1612361690874965e-5	7
geneComp_00026958	ENSG00000067606	PRKCZ	FT	RGC	7.567546464186792e-5	8
geneComp_00000755	ENSG00000151150	ANK3	FT	RGC	0.0017598658504632018	9
geneComp_00005141	ENSG00000113657	DPYSL3	FT	RGC	0.002311375696988742	10
geneComp_00003561	ENSG00000163539	CLASP2	FT	RGC	0.0023331589464636953	11
geneComp_00000110	ENSG00000138443	ABI2	FT	RGC	0.003541942324082035	12
geneComp_00030193	ENSG00000018189	RUFY3	FT	RGC	0.0041734211921871925	13
geneComp_00016262	ENSG00000125991	ERGIC3	FT	RGC	0.01143943805844017	14
geneComp_00032619	ENSG00000149591	TAGLN	FT	RGC	0.012046129201610353	15
geneComp_00018622	ENSG00000112972	HMGCS1	FT	RGC	0.017711671767896082	16
geneComp_00005635	ENSG00000155849	ELMO1	FT	RGC	0.025567032345425553	17
geneComp_00034167	ENSG00000167553	TUBA1C	FT	RGC	0.025567032345425553	18
geneComp_00001317	ENSG00000198363	ASPH	FT	RGC	0.03483838170958178	19
geneComp_00000921	ENSG00000182287	AP1S2	FT	RGC	0.04580230466072311	20
geneComp_00016219	ENSG00000085832	EPS15	FT	RGC	0.046894854096263656	21
