gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	Rank
geneComp_00074802	ERGIC3	ERGIC3	RGC	RO_D45	2.5219785667134055e-172	1
geneComp_00088769	PKM	PKM	RGC	RO_D45	5.982263008793524e-113	2
geneComp_00088425	PFN2	PFN2	RGC	RO_D45	1.1217267258421987e-85	3
geneComp_00001128	AP1S2	AP1S2	RGC	RO_D209	1.7196413245950792e-78	4
geneComp_00002415	BSG	BSG	RGC	RO_D209	3.767154203470215e-76	5
geneComp_00057748	DUT	DUT	RGC	RO_D45	2.02922533539357e-71	6
geneComp_00083316	MCM7	MCM7	RGC	RO_D45	6.830184555675018e-67	7
geneComp_00083368	MEAF6	MEAF6	RGC	RO_D45	2.5868173550951437e-65	8
geneComp_00052475	AP1S2	AP1S2	RGC	RO_D45	3.52674639774811e-60	9
geneComp_00105109	BSG	BSG	RO_D209	RO_D45	4.473378453197642e-59	10
geneComp_00035374	NSFL1C	NSFL1C	RGC	RO_D209	1.4667422322395736e-56	11
geneComp_00057987	EEF1D	EEF1D	RGC	RO_D45	2.4838756933649288e-51	12
geneComp_00086721	NSFL1C	NSFL1C	RGC	RO_D45	3.0386890600570292e-50	13
geneComp_00051835	ADI1	ADI1	RGC	RO_D45	9.81457220932164e-50	14
geneComp_00076745	GOPC	GOPC	RGC	RO_D45	4.26731099459937e-48	15
geneComp_00056932	DCTN2	DCTN2	RGC	RO_D45	6.161050350296953e-45	16
geneComp_00052504	APBB1	APBB1	RGC	RO_D45	8.866741277979533e-43	17
geneComp_00075456	FBXL5	FBXL5	RGC	RO_D45	3.2448437588487084e-42	18
geneComp_00077360	H4C15	H4C15	RGC	RO_D45	1.9931103099800401e-41	19
geneComp_00100822	UNG	UNG	RGC	RO_D45	1.0741914859462639e-40	20
geneComp_00051480	ABI2	ABI2	RGC	RO_D45	8.624561001472263e-40	21
geneComp_00025280	GNAT1	GNAT1	RGC	RO_D209	4.044335902531483e-39	22
geneComp_00002413	BSCL2	BSCL2	RGC	RO_D209	2.616092157736833e-38	23
geneComp_00086137	NEK2	NEK2	RGC	RO_D45	5.707050272303032e-38	24
geneComp_00149475	STX3	STX3	RO_D209	RO_D45	6.152560257145229e-36	25
geneComp_00048348	TPD52	TPD52	RGC	RO_D209	1.5752710581453708e-35	26
geneComp_00052573	APP	APP	RGC	RO_D45	1.633952233307577e-35	27
geneComp_00086113	NECTIN2	NECTIN2	RGC	RO_D45	1.7446746038627152e-35	28
geneComp_00128707	H4C15	H4C15	RO_D209	RO_D45	4.7464608608209876e-35	29
geneComp_00048864	TSC22D4	TSC22D4	RGC	RO_D209	2.355592781351991e-34	30
geneComp_00056112	COX20	COX20	RGC	RO_D45	4.2299087129198924e-33	31
geneComp_00031780	MAP6	MAP6	RGC	RO_D209	1.1615866065229636e-32	32
geneComp_00096953	SNHG6	SNHG6	RGC	RO_D45	1.7656966649557121e-32	33
geneComp_00045606	SNHG6	SNHG6	RGC	RO_D209	2.4765648093377323e-32	34
geneComp_00095226	RTKN2	RTKN2	RGC	RO_D45	2.889463753310162e-32	35
geneComp_00043889	RTN1	RTN1	RGC	RO_D209	4.620132525033469e-32	36
geneComp_00087005	OLFM3	OLFM3	RGC	RO_D45	2.424987384161674e-31	37
geneComp_00036823	PCSK2	PCSK2	RGC	RO_D209	4.446578872777691e-31	38
geneComp_00087652	ORC6	ORC6	RGC	RO_D45	9.341043189500534e-31	39
