isoform_id	logFC	logCPM	F	PValue	FDR	gene_id	gene_name	transcript_biotype
ENST00000232424	6.7267748375462	9.11842642990877	650.598628335783	3.72123491802259e-06	0.00650997028288262	ENSG00000114315	HES1	protein_coding
ENST00000266058	-5.74465470703527	7.49857347612192	568.422359536452	5.07550553192291e-06	0.00650997028288262	ENSG00000187122	SLIT1	protein_coding
ENST00000281321	-8.8779131485361	7.4260279761687	859.57777379896	1.96017775635117e-06	0.00650997028288262	ENSG00000151615	POU4F2	protein_coding
ENST00000297785	7.24115441514262	7.2108183152035	665.262849007214	3.53529634067266e-06	0.00650997028288262	ENSG00000165092	ALDH1A1	protein_coding
ENST00000308162	7.1780381227222	8.8469789227177	600.58698495402	4.47246428295962e-06	0.00650997028288262	ENSG00000172757	CFL1	protein_coding
ENST00000342503	-5.63332260545887	8.33758498735154	632.677160877907	3.96807938703993e-06	0.00650997028288262	ENSG00000139970	RTN1	protein_coding
ENST00000439696	6.98511102133646	8.59097890888056	602.574554491745	4.4386301015323e-06	0.00650997028288262	ENSG00000185650	ZFP36L1	protein_coding
ENST00000644641	-6.94117918729504	6.8029360038157	571.940575942624	5.00405781836325e-06	0.00650997028288262	ENSG00000165646	SLC18A2	protein_coding
ENST00000399808	7.05256218522287	7.63966423757777	529.808964034815	5.96562876330694e-06	0.00680147963781028	ENSG00000142089	IFITM3	protein_coding
ENST00000221166	-5.06447989712243	7.97345840627145	441.204664581894	9.079077383003e-06	0.00702710735826466	ENSG00000104722	NEFM	protein_coding
ENST00000224237	3.90904702468367	10.3887146202997	359.735156103536	1.44923430842458e-05	0.00702710735826466	ENSG00000026025	VIM	protein_coding
ENST00000227507	4.2319131646612	7.20295615430586	337.314849350266	1.6790837519517e-05	0.00702710735826466	ENSG00000110092	CCND1	protein_coding
ENST00000231061	4.80450043056304	8.88895331632327	311.535614899845	2.01369666300519e-05	0.00702710735826466	ENSG00000113140	SPARC	protein_coding
ENST00000234396	3.77009542524332	6.8991699060815	281.559846653531	2.53693555376937e-05	0.00702710735826466	ENSG00000116039	ATP6V1B1	protein_coding
ENST00000240285	3.8578841340506	6.52511198368225	298.227353860026	2.22484410042643e-05	0.00702710735826466	ENSG00000121039	RDH10	protein_coding
ENST00000252486	3.62862860144912	6.98946827526051	348.761243589448	1.55569264411149e-05	0.00702710735826466	ENSG00000130203	APOE	protein_coding
ENST00000257905	-3.74786475211505	7.20381601432633	248.259749275643	3.38003697300888e-05	0.00702710735826466	ENSG00000135447	PPP1R1A	protein_coding
ENST00000261980	3.48415805538221	6.56554761967259	265.411716656009	2.90275653846943e-05	0.00702710735826466	ENSG00000119614	VSX2	protein_coding
ENST00000263314	-5.77235204406517	5.42381322644618	284.770446738245	2.47214166393209e-05	0.00702710735826466	ENSG00000109991	P2RX3	protein_coding
ENST00000263388	6.0770961378407	5.7927262653088	259.213036422124	3.06340225532491e-05	0.00702710735826466	ENSG00000074181	NOTCH3	protein_coding
ENST00000265770	-4.47001614544496	8.54545052593545	309.62998599848	2.04212204840411e-05	0.00702710735826466	ENSG00000015592	STMN4	protein_coding
ENST00000268150	4.2074421700197	5.98316158226841	240.611849005499	3.62963346640705e-05	0.00702710735826466	ENSG00000140545	MFGE8	protein_coding
ENST00000274063	4.37006037736619	9.14814651690938	386.278487554572	1.23128475746444e-05	0.00702710735826466	ENSG00000145423	SFRP2	protein_coding
ENST00000274289	3.43899608227099	7.57958646638776	289.981511179638	2.37191773699627e-05	0.00702710735826466	ENSG00000145632	PLK2	protein_coding
ENST00000282441	5.84790248855508	5.44874463054756	280.887244439916	2.55081718383575e-05	0.00702710735826466	ENSG00000137693	YAP1	protein_coding
ENST00000282928	4.82716405142324	6.48879903051991	398.84380008337	1.14423452183822e-05	0.00702710735826466	ENSG00000152977	ZIC1	protein_coding
ENST00000294117	-5.47071542356553	7.37411613528836	342.789235387872	1.61838601680921e-05	0.00702710735826466	ENSG00000162188	GNG3	protein_coding
ENST00000297268	5.96658066466298	6.15915468976901	371.418931721937	1.3469975740609e-05	0.00702710735826466	ENSG00000164692	COL1A2	protein_coding
ENST00000298743	4.44248438320504	6.18996208453147	346.969307431126	1.57413346185291e-05	0.00702710735826466	ENSG00000180447	GAS1	protein_coding
ENST00000299610	4.32280683048345	6.24251038632009	326.450939181284	1.8095854351101e-05	0.00702710735826466	ENSG00000166482	MFAP4	protein_coding
ENST00000303177	-5.43387908050133	7.65517595877675	247.862702400815	3.39238049238912e-05	0.00702710735826466	ENSG00000170091	NSG2	protein_coding
ENST00000305124	-4.19746850529148	8.41979880363444	242.678695035921	3.55964319482509e-05	0.00702710735826466	ENSG00000172020	GAP43	protein_coding
ENST00000319420	4.37551196703865	6.79534341183198	265.17845027175	2.9085809219234e-05	0.00702710735826466	ENSG00000180730	SHISA2	protein_coding
ENST00000354232	-2.71609794842607	7.26262349297648	247.762063972771	3.39551942688137e-05	0.00702710735826466	ENSG00000105379	ETFB	protein_coding
