gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	condition_1	condition_2
ENSG00000142089	ENSG00000142089	7.9259926944100005	8.002774102751474	633.7099108326828	8.993418041675723e-10	1.5389536952915495e-5	IFITM3	protein_coding	RGC	Stage_1
ENSG00000119614	ENSG00000119614	4.182851616524998	7.011589658313953	472.90715056439336	3.3692240439608033e-9	1.921805394675242e-5	VSX2	protein_coding	RGC	Stage_1
ENSG00000185650	ENSG00000185650	6.400748867208782	8.222250145642107	480.78804674015026	3.1275920326451202e-9	1.921805394675242e-5	ZFP36L1	protein_coding	RGC	Stage_1
ENSG00000139445	ENSG00000139445	6.0169193896065245	5.903423524026247	428.4695858102598	5.251727331264837e-9	2.246688952315097e-5	FOXN4	protein_coding	RGC	Stage_1
ENSG00000090889	ENSG00000090889	5.0669635711915175	4.74878000023605	308.4117898290642	2.2896488073188565e-8	4.339549183975903e-5	KIF4A	protein_coding	RGC	Stage_1
ENSG00000126878	ENSG00000126878	4.175665650881117	5.742951107830055	327.8137212582807	1.7437175512702818e-8	4.339549183975903e-5	AIF1L	protein_coding	RGC	Stage_1
ENSG00000162407	ENSG00000162407	3.680102775236283	6.456310068729886	313.3515912393922	2.132933264557051e-8	4.339549183975903e-5	PLPP3	protein_coding	RGC	Stage_1
ENSG00000164294	ENSG00000164294	6.163417539127061	4.418521997145119	309.62333403136313	2.249948872155148e-8	4.339549183975903e-5	GPX8	protein_coding	RGC	Stage_1
ENSG00000168298	ENSG00000168298	5.5386067325872554	8.162028018706087	301.42599298321255	2.5359684338335104e-8	4.339549183975903e-5	H1-4	protein_coding	RGC	Stage_1
ENSG00000283782	ENSG00000283782	-5.25306116520612	6.051403815253676	320.2925046248071	1.9342015199492634e-8	4.339549183975903e-5		protein_coding	RGC	Stage_1
ENSG00000015592	ENSG00000015592	-3.54556087269647	7.765699567361733	243.7110255403627	6.522536302747235e-8	5.580682060630534e-5	STMN4	protein_coding	RGC	Stage_1
ENSG00000026025	ENSG00000026025	4.061302902077665	10.324425515759307	252.54496656089242	5.570191978138112e-8	5.580682060630534e-5	VIM	protein_coding	RGC	Stage_1
ENSG00000111602	ENSG00000111602	3.495313549023437	5.396895735405816	251.1494215114401	5.708775334875521e-8	5.580682060630534e-5	TIMELESS	protein_coding	RGC	Stage_1
ENSG00000120549	ENSG00000120549	4.058164853784109	8.60201159791588	258.9096901613384	4.987781839309682e-8	5.580682060630534e-5	KIAA1217	protein_coding	RGC	Stage_1
ENSG00000144229	ENSG00000144229	-4.013299625279412	4.588723341008165	261.93955500609746	4.7366928596189904e-8	5.580682060630534e-5	THSD7B	protein_coding	RGC	Stage_1
ENSG00000162878	ENSG00000162878	3.772005286931198	6.4093039299206325	269.04407841872336	4.205780259018426e-8	5.580682060630534e-5	PKDCC	protein_coding	RGC	Stage_1
ENSG00000167654	ENSG00000167654	-2.8496470658831434	6.362599117441421	265.62937054573473	4.451374523889501e-8	5.580682060630534e-5	ATCAY	protein_coding	RGC	Stage_1
ENSG00000170091	ENSG00000170091	-3.202637282039351	6.56327556782187	244.49288276668602	6.430630725507196e-8	5.580682060630534e-5	NSG2	protein_coding	RGC	Stage_1
ENSG00000177606	ENSG00000177606	-3.2366386005954126	8.222925230152683	250.27696792622098	5.7975495291269825e-8	5.580682060630534e-5	JUN	protein_coding	RGC	Stage_1
ENSG00000188486	ENSG00000188486	3.5100641172151024	5.740534147156123	244.74157994447492	6.401728165202407e-8	5.580682060630534e-5	H2AX	protein_coding	RGC	Stage_1
ENSG00000157064	ENSG00000157064	-3.406755527642664	5.551893338608133	239.6260148506462	7.029597824775924e-8	5.728117998931696e-5	NMNAT2	protein_coding	RGC	Stage_1
ENSG00000101489	ENSG00000101489	-3.779219691082702	7.820293295690401	228.0602604218227	8.749379180650589e-8	5.758437559203573e-5	CELF4	protein_coding	RGC	Stage_1
ENSG00000123219	ENSG00000123219	4.6490881640392265	6.202820319940293	235.17812393108758	7.637437587941118e-8	5.758437559203573e-5	CENPK	protein_coding	RGC	Stage_1
ENSG00000143228	ENSG00000143228	4.757894648680124	5.21061921454178	231.49602172175972	8.189647149447963e-8	5.758437559203573e-5	NUF2	protein_coding	RGC	Stage_1
ENSG00000163251	ENSG00000163251	4.216050124777592	6.851943875512185	228.82144747252926	8.62144982752871e-8	5.758437559203573e-5	FZD5	protein_coding	RGC	Stage_1
ENSG00000172037	ENSG00000172037	4.9147596047022	5.385268939132412	231.66794469635133	8.16280251598361e-8	5.758437559203573e-5	LAMB2	protein_coding	RGC	Stage_1
ENSG00000121152	ENSG00000121152	4.308987267993264	4.6201525309235025	218.15988541596968	1.0644090322053287e-7	6.745987910776885e-5	NCAPH	protein_coding	RGC	Stage_1
ENSG00000176890	ENSG00000176890	4.356351939001886	6.777776405979329	210.85427681450523	1.2369427108261745e-7	7.559487024163392e-5	TYMS	protein_coding	RGC	Stage_1
