seq_id	aln_start	aln_end	env_start	env_end	hmm_acc	hmm_name	type	hmm_start	hmm_end	hmm_length	score	evalue	significance	clan
BambuTx105	157	248	148	252	PF00640.28	PID	Domain	49	136	140	33.8	3.5E-08	1	CL0266
BambuTx105	561	616	561	616	PF11830.13	DUF3350	Family	1	63	63	80.6	8.3E-23	1	No_Clan
BambuTx105	675	884	674	885	PF00566.24	RabGAP-TBC	Family	2	215	216	191.5	1.8E-56	1	CL0816
BambuTx125	20	149	16	150	PF00134.28	Cyclin_N	Domain	6	126	127	72.7	2.7E-20	1	CL0065
BambuTx127	26	58	25	69	PF16093.10	PAC4	Family	2	36	77	31.4	1.7E-07	1	CL0765
BambuTx129	11	101	2	102	PF00125.29	Histone	Domain	27	121	122	90.7	9.3E-26	1	CL0012
BambuTx13	121	191	120	193	PF00538.24	Linker_histone	Domain	2	72	74	69.6	2.5E-19	1	CL0123
BambuTx13	228	290	218	291	PF00538.24	Linker_histone	Domain	11	73	74	41.6	1.3E-10	1	CL0123
BambuTx13	306	373	302	374	PF00538.24	Linker_histone	Domain	6	73	74	66.8	1.7E-18	1	CL0123
BambuTx132	62	108	59	108	PF07896.17	DUF1674	Family	4	50	50	78.7	3.8E-22	1	No_Clan
BambuTx153	3	67	1	70	PF02214.27	BTB_2	Domain	26	91	94	45.2	1.1E-11	1	CL0033
BambuTx153	129	166	129	166	PF00805.27	Pentapeptide	Repeat	1	38	40	38.2	9.4E-10	1	CL0505
BambuTx153	224	262	224	262	PF00805.27	Pentapeptide	Repeat	1	39	40	46.9	1.7E-12	1	CL0505
BambuTx17	83	168	83	171	PF00041.26	fn3	Domain	1	81	84	49.4	4.8E-13	1	CL0159
BambuTx188	69	175	67	180	PF00586.29	AIRS	Domain	3	107	112	56.0	5.5E-15	1	CL0804
BambuTx188	193	366	192	368	PF02769.27	AIRS_C	Domain	2	154	156	74.5	1.2E-20	1	No_Clan
BambuTx20	54	159	45	160	PF15926.10	RNF220	Family	143	248	249	139.2	2.3E-40	1	No_Clan
BambuTx20	229	268	229	268	PF13923.11	zf-C3HC4_2	Domain	1	40	40	56.8	1.7E-15	1	CL0229
BambuTx218	1	245	1	245	PF01209.23	Ubie_methyltran	Family	23	233	233	277.9	6.7E-83	1	CL0063
BambuTx233	17	40	15	40	PF00642.29	zf-CCCH	Family	4	27	27	22.0	0.00014	1	CL0537
BambuTx233	48	86	48	86	PF22628.1	zf-CCCH_10	Domain	1	39	39	74.6	3.7E-21	1	CL0537
BambuTx233	178	202	177	203	PF00642.29	zf-CCCH	Family	2	26	27	21.2	0.00025	1	CL0537
BambuTx233	213	251	213	251	PF22628.1	zf-CCCH_10	Domain	1	39	39	78.0	3.1E-22	1	CL0537
BambuTx249	216	241	216	241	PF13465.11	zf-H2C2_2	Domain	1	26	26	41.1	1.5E-10	1	CL0361
BambuTx249	258	280	258	280	PF00096.31	zf-C2H2	Domain	1	23	23	21.9	0.0002	1	CL0361
BambuTx249	315	337	315	337	PF00096.31	zf-C2H2	Domain	1	23	23	26.8	5.4E-06	1	CL0361
BambuTx249	343	365	343	365	PF00096.31	zf-C2H2	Domain	1	23	23	23.6	5.7E-05	1	CL0361
BambuTx249	371	393	371	393	PF00096.31	zf-C2H2	Domain	1	23	23	16.8	0.0084	1	CL0361
BambuTx249	399	418	399	420	PF00096.31	zf-C2H2	Domain	1	20	23	17.6	0.0047	1	CL0361
BambuTx249	428	450	428	450	PF00096.31	zf-C2H2	Domain	1	23	23	25.6	1.3E-05	1	CL0361
BambuTx249	501	525	500	525	PF13465.11	zf-H2C2_2	Domain	2	26	26	41.9	8.3E-11	1	CL0361
BambuTx293	36	75	36	75	PF05920.16	Homeobox_KN	Family	1	40	40	66.6	1.5E-18	1	CL0123
BambuTx295	43	122	34	123	PF02174.22	IRS	Domain	13	91	92	80.0	1.2E-22	1	CL0266
